cell_id,Copsychus albospecularis,Copsychus albospecularis albospecularis,Copsychus albospecularis inexspectatus,Copsychus albospecularis pica
84a2049ffffffff,2.0,0.0,0.0,0.0
84a204dffffffff,1.0,0.0,0.0,0.0
84a210dffffffff,2.0,0.0,0.0,0.0
84a2129ffffffff,7.0,0.0,0.0,0.0
84a2143ffffffff,405.0,0.0,29.0,2.0
84a2147ffffffff,43.0,0.0,1.0,0.0
84a214bffffffff,5.0,0.0,0.0,0.0
84a215dffffffff,8.0,0.0,2.0,0.0
84a2163ffffffff,1.0,0.0,0.0,0.0
84a216bffffffff,4.0,0.0,0.0,0.0
84a2225ffffffff,2.0,0.0,0.0,0.0
84a2227ffffffff,213.0,2.0,4.0,0.0
84a2319ffffffff,2.0,0.0,0.0,0.0
84a231bffffffff,461.0,4.0,28.0,0.0
84a2353ffffffff,13.0,0.0,0.0,0.0
84a2357ffffffff,82.0,0.0,2.0,3.0
84a2365ffffffff,3.0,0.0,0.0,0.0
84a2a3bffffffff,4.0,0.0,0.0,0.0
84a2a47ffffffff,2.0,0.0,0.0,0.0
84a2a49ffffffff,74.0,0.0,1.0,6.0
84a2a69ffffffff,10.0,0.0,0.0,3.0
84a2ae1ffffffff,2.0,0.0,0.0,0.0
84a2ae9ffffffff,21.0,1.0,1.0,1.0
84a2aedffffffff,154.0,0.0,0.0,2.0
84a3083ffffffff,2.0,0.0,0.0,0.0
84a308bffffffff,54.0,0.0,0.0,11.0
84a3091ffffffff,5.0,0.0,0.0,0.0
84a3093ffffffff,19.0,0.0,0.0,0.0
84a30d5ffffffff,2.0,0.0,0.0,0.0
84a30e7ffffffff,9.0,0.0,0.0,0.0
84a3189ffffffff,8.0,0.0,0.0,0.0
84a318bffffffff,4.0,0.0,0.0,0.0
84a3191ffffffff,3.0,0.0,3.0,0.0
84a3199ffffffff,12.0,0.0,0.0,0.0
84a319dffffffff,347.0,2.0,7.0,29.0
84a31c3ffffffff,1.0,0.0,0.0,0.0
84a31d5ffffffff,6.0,0.0,0.0,0.0
84a3561ffffffff,9.0,1.0,0.0,0.0
84a3565ffffffff,10.0,2.0,0.0,0.0
84a3567ffffffff,97.0,9.0,0.0,0.0
84a356dffffffff,14.0,4.0,0.0,0.0
84a3761ffffffff,14.0,0.0,0.0,0.0
84a3765ffffffff,15.0,0.0,0.0,2.0
84a3767ffffffff,3.0,0.0,0.0,0.0
84a3769ffffffff,1.0,0.0,0.0,0.0
84a3889ffffffff,2.0,0.0,0.0,0.0
84a389dffffffff,1.0,0.0,0.0,0.0
84a38b3ffffffff,57.0,1.0,0.0,1.0
84a38b7ffffffff,48.0,0.0,4.0,3.0
84a38c7ffffffff,2.0,0.0,0.0,0.0
84a38ddffffffff,3.0,0.0,0.0,0.0
84a38e7ffffffff,3.0,0.0,0.0,0.0
84a3993ffffffff,207.0,0.0,10.0,21.0
84a3997ffffffff,8.0,0.0,0.0,0.0
84a399bffffffff,297.0,1.0,8.0,25.0
84a39dbffffffff,21.0,0.0,0.0,0.0
84a3ab7ffffffff,36.0,0.0,0.0,2.0
84a3ab9ffffffff,2.0,0.0,0.0,0.0
84a3abbffffffff,5.0,0.0,0.0,0.0
84a3ad7ffffffff,3.0,0.0,0.0,0.0
84a3addffffffff,2.0,0.0,0.0,0.0
