cell_id,Muscicapa striata,Muscicapa striata [striata Group],Muscicapa striata tyrrhenica/balearica
840126dffffffff,4.0,0.0,0.0
8401357ffffffff,1.0,0.0,0.0
8408021ffffffff,2.0,0.0,0.0
8408065ffffffff,5.0,0.0,0.0
8408105ffffffff,4.0,0.0,0.0
840811dffffffff,6.0,0.0,0.0
8408129ffffffff,9.0,0.0,0.0
840812bffffffff,2.0,0.0,0.0
8408133ffffffff,3.0,0.0,0.0
8408137ffffffff,5.0,0.0,0.0
8408141ffffffff,1.0,0.0,0.0
840814dffffffff,2.0,0.0,0.0
8408151ffffffff,2.0,0.0,0.0
8408153ffffffff,2.0,0.0,0.0
840815bffffffff,2.0,0.0,0.0
8408165ffffffff,5.0,0.0,0.0
8408169ffffffff,3.0,0.0,0.0
8408193ffffffff,5.0,0.0,0.0
840819dffffffff,2.0,0.0,0.0
84081d5ffffffff,7.0,0.0,0.0
84081e1ffffffff,4.0,0.0,0.0
84081e5ffffffff,9.0,0.0,0.0
84081e7ffffffff,2.0,0.0,0.0
8408295ffffffff,1.0,0.0,0.0
8408321ffffffff,3.0,0.0,0.0
8408329ffffffff,1.0,0.0,0.0
840832dffffffff,1.0,0.0,0.0
840833dffffffff,3.0,0.0,0.0
8408807ffffffff,2.0,0.0,0.0
840880bffffffff,2.0,0.0,0.0
840880dffffffff,14.0,0.0,0.0
8408823ffffffff,2.0,0.0,0.0
8408829ffffffff,9.0,0.0,0.0
840882dffffffff,3.0,0.0,0.0
8408837ffffffff,6.0,0.0,0.0
8408841ffffffff,1.0,0.0,0.0
8408843ffffffff,1.0,0.0,0.0
8408845ffffffff,12.0,0.0,0.0
8408847ffffffff,2.0,0.0,0.0
840884dffffffff,3.0,0.0,0.0
8408855ffffffff,3.0,0.0,0.0
8408863ffffffff,1.0,0.0,0.0
8408867ffffffff,36.0,0.0,0.0
8408869ffffffff,5.0,0.0,0.0
840886bffffffff,15.0,0.0,0.0
8408881ffffffff,2.0,0.0,0.0
8408889ffffffff,4.0,0.0,0.0
840888dffffffff,13.0,6.0,0.0
84088a9ffffffff,5.0,0.0,0.0
84088adffffffff,10.0,0.0,0.0
84088b3ffffffff,1.0,0.0,0.0
84088b5ffffffff,2.0,0.0,0.0
84088d3ffffffff,2.0,1.0,0.0
84088e1ffffffff,4.0,4.0,0.0
84088e3ffffffff,6.0,2.0,0.0
84088e5ffffffff,6.0,0.0,0.0
84088e7ffffffff,4.0,2.0,0.0
8408901ffffffff,10.0,0.0,0.0
8408937ffffffff,19.0,0.0,0.0
8408959ffffffff,9.0,0.0,0.0
840895bffffffff,20.0,0.0,0.0
8408961ffffffff,2.0,0.0,0.0
8408965ffffffff,7.0,0.0,0.0
8408969ffffffff,2.0,0.0,0.0
8408985ffffffff,16.0,0.0,0.0
840898bffffffff,8.0,0.0,0.0
8408991ffffffff,3.0,0.0,0.0
8408993ffffffff,2.0,2.0,0.0
8408995ffffffff,3.0,0.0,0.0
8408997ffffffff,90.0,18.0,0.0
8408999ffffffff,2.0,2.0,0.0
840899bffffffff,1.0,0.0,0.0
84089a1ffffffff,21.0,0.0,0.0
84089a5ffffffff,9.0,0.0,0.0
84089a9ffffffff,23.0,0.0,0.0
84089abffffffff,3.0,0.0,0.0
84089adffffffff,1.0,0.0,0.0
84089b1ffffffff,14.0,0.0,0.0
84089b7ffffffff,10.0,0.0,0.0
84089bbffffffff,12.0,2.0,0.0
84089bdffffffff,3.0,0.0,0.0
84089c3ffffffff,3.0,0.0,0.0
84089d1ffffffff,24.0,0.0,0.0
84089d3ffffffff,11.0,0.0,0.0
84089d7ffffffff,4.0,0.0,0.0
84089d9ffffffff,4.0,0.0,0.0
84089dbffffffff,20.0,0.0,0.0
84089e3ffffffff,13.0,0.0,0.0
84089ebffffffff,9.0,0.0,0.0
8408a05ffffffff,4.0,0.0,0.0
8408a15ffffffff,2.0,0.0,0.0
8408a23ffffffff,2.0,0.0,0.0
8408a25ffffffff,2.0,0.0,0.0
8408a27ffffffff,1.0,0.0,0.0
8408a3bffffffff,6.0,0.0,0.0
8408a3dffffffff,2.0,0.0,0.0
8408a43ffffffff,2.0,0.0,0.0
8408a45ffffffff,2.0,0.0,0.0
8408a47ffffffff,2.0,0.0,0.0
8408a4dffffffff,6.0,0.0,0.0
8408a53ffffffff,2.0,0.0,0.0
8408a69ffffffff,4.0,0.0,0.0
8408a6dffffffff,4.0,0.0,0.0
8408a97ffffffff,4.0,0.0,0.0
8408b03ffffffff,3.0,0.0,0.0
8408b05ffffffff,8.0,0.0,0.0
8408b09ffffffff,2.0,0.0,0.0
8408b11ffffffff,3.0,0.0,0.0
8408b15ffffffff,5.0,0.0,0.0
8408b1bffffffff,2.0,0.0,0.0
8408b23ffffffff,1.0,0.0,0.0
8408b2bffffffff,1.0,0.0,0.0
8408b33ffffffff,2.0,0.0,0.0
8408b35ffffffff,1.0,0.0,0.0
8408b37ffffffff,2.0,0.0,0.0
8408b3dffffffff,6.0,0.0,0.0
8408b4dffffffff,2.0,0.0,0.0
8408b51ffffffff,3.0,0.0,0.0
8408b61ffffffff,3.0,0.0,0.0
8408b65ffffffff,5.0,0.0,0.0
8408c09ffffffff,1.0,0.0,0.0
8408c19ffffffff,12.0,2.0,0.0
8408c1bffffffff,6.0,2.0,0.0
8408c21ffffffff,4.0,2.0,0.0
8408c25ffffffff,6.0,2.0,0.0
8408c29ffffffff,5.0,0.0,0.0
8408c2bffffffff,4.0,0.0,0.0
8408c31ffffffff,6.0,0.0,0.0
8408c3dffffffff,2.0,0.0,0.0
8408c63ffffffff,1.0,0.0,0.0
8408c89ffffffff,2.0,0.0,0.0
8408c8bffffffff,1.0,0.0,0.0
8408c8dffffffff,6.0,3.0,0.0
8408c93ffffffff,4.0,0.0,0.0
8408c95ffffffff,9.0,0.0,0.0
8408cc5ffffffff,2.0,0.0,0.0
8408cd5ffffffff,3.0,0.0,0.0
8408cd7ffffffff,10.0,0.0,0.0
8408ce1ffffffff,1.0,0.0,0.0
8408ce5ffffffff,2.0,0.0,0.0
8408d07ffffffff,3.0,0.0,0.0
8408d11ffffffff,1.0,0.0,0.0
8408d19ffffffff,54.0,1.0,0.0
8408d1bffffffff,7.0,0.0,0.0
8408d2dffffffff,7.0,0.0,0.0
8408d31ffffffff,3.0,0.0,0.0
8408d33ffffffff,4.0,0.0,0.0
8408d39ffffffff,4.0,4.0,0.0
8408d45ffffffff,2.0,0.0,0.0
8408d4dffffffff,2.0,0.0,0.0
8408d55ffffffff,2.0,0.0,0.0
8408d57ffffffff,9.0,0.0,0.0
8408d81ffffffff,31.0,0.0,0.0
8408d83ffffffff,4.0,0.0,0.0
8408d85ffffffff,10.0,0.0,0.0
8408d87ffffffff,1.0,0.0,0.0
8408d89ffffffff,2.0,0.0,0.0
8408d8bffffffff,48.0,0.0,0.0
8408da9ffffffff,2.0,0.0,0.0
8408dbdffffffff,2.0,0.0,0.0
