cell_id,Lanius borealis,Lanius borealis [mollis Group],Lanius borealis borealis
820c17fffffffff,8.0,0.0,0.0
820c47fffffffff,43.0,0.0,0.0
820c5ffffffffff,19.0,0.0,0.0
820c77fffffffff,12.0,0.0,5.0
820ca7fffffffff,1.0,0.0,0.0
820ce7fffffffff,4.0,0.0,0.0
820d07fffffffff,3.0,0.0,0.0
820d77fffffffff,11.0,0.0,0.0
820e47fffffffff,2.0,0.0,0.0
820e4ffffffffff,9.0,0.0,0.0
820e57fffffffff,2.0,0.0,0.0
820e6ffffffffff,3.0,0.0,0.0
820e87fffffffff,1.0,0.0,0.0
820ec7fffffffff,4.0,0.0,0.0
820ecffffffffff,14.0,0.0,7.0
820ed7fffffffff,1.0,0.0,0.0
820eeffffffffff,91.0,0.0,64.0
820ef7fffffffff,1.0,0.0,0.0
821127fffffffff,2.0,0.0,0.0
82124ffffffffff,4.0,0.0,0.0
821257fffffffff,3.0,0.0,1.0
82128ffffffffff,10.0,0.0,0.0
8212c7fffffffff,7.0,0.0,0.0
8212cffffffffff,19.0,0.0,0.0
8212d7fffffffff,10.0,0.0,0.0
8212dffffffffff,26.0,0.0,8.0
8212effffffffff,20.0,0.0,2.0
82132ffffffffff,2.0,0.0,0.0
82134ffffffffff,2.0,0.0,0.0
821397fffffffff,5.0,0.0,0.0
82139ffffffffff,4.0,0.0,0.0
821aa7fffffffff,28.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0
821b87fffffffff,2.0,0.0,0.0
821b9ffffffffff,3.0,0.0,0.0
821d27fffffffff,4.0,0.0,0.0
8222dffffffffff,11.0,0.0,0.0
8222effffffffff,15.0,0.0,0.0
82242ffffffffff,4.0,0.0,0.0
82255ffffffffff,5.0,0.0,0.0
822607fffffffff,3.0,0.0,0.0
82260ffffffffff,23.0,0.0,0.0
822617fffffffff,2.0,0.0,0.0
82261ffffffffff,2.0,0.0,0.0
822627fffffffff,4.0,0.0,0.0
82262ffffffffff,10.0,0.0,0.0
822637fffffffff,4.0,0.0,0.0
822647fffffffff,90.0,0.0,2.0
822657fffffffff,281.0,0.0,2.0
822667fffffffff,38.0,0.0,0.0
82266ffffffffff,26.0,0.0,0.0
822677fffffffff,55.0,0.0,0.0
822687fffffffff,75.0,0.0,0.0
82268ffffffffff,100.0,0.0,0.0
822697fffffffff,47.0,0.0,0.0
82269ffffffffff,71.0,0.0,2.0
8226affffffffff,52.0,0.0,0.0
8226b7fffffffff,10.0,0.0,0.0
8226c7fffffffff,45.0,0.0,0.0
8226cffffffffff,110.0,0.0,4.0
8226d7fffffffff,31.0,0.0,0.0
8226dffffffffff,35.0,0.0,1.0
8226e7fffffffff,117.0,0.0,0.0
8226effffffffff,7.0,0.0,0.0
8226f7fffffffff,39.0,0.0,0.0
822707fffffffff,9.0,0.0,0.0
82270ffffffffff,15.0,0.0,8.0
822717fffffffff,2.0,0.0,0.0
82271ffffffffff,20.0,0.0,0.0
822747fffffffff,22.0,0.0,3.0
82274ffffffffff,55.0,0.0,0.0
822757fffffffff,27.0,0.0,0.0
82275ffffffffff,71.0,0.0,2.0
822767fffffffff,64.0,0.0,4.0
82276ffffffffff,48.0,0.0,33.0
822777fffffffff,2.0,0.0,0.0
822797fffffffff,4.0,0.0,0.0
8227a7fffffffff,23.0,0.0,0.0
8227affffffffff,4.0,0.0,0.0
8227b7fffffffff,3.0,0.0,0.0
822807fffffffff,145.0,0.0,2.0
822817fffffffff,125.0,0.0,2.0
82281ffffffffff,79.0,0.0,0.0
822837fffffffff,232.0,0.0,0.0
822887fffffffff,2.0,0.0,0.0
82288ffffffffff,11.0,0.0,0.0
822897fffffffff,30.0,0.0,0.0
82289ffffffffff,21.0,0.0,0.0
8228a7fffffffff,3.0,0.0,0.0
8228affffffffff,27.0,0.0,0.0
8228b7fffffffff,18.0,0.0,0.0
8228c7fffffffff,4.0,0.0,0.0
8228d7fffffffff,169.0,0.0,3.0
8228dffffffffff,63.0,0.0,0.0
8228f7fffffffff,75.0,0.0,1.0
822987fffffffff,10.0,0.0,0.0
82298ffffffffff,57.0,0.0,5.0
822997fffffffff,20.0,0.0,0.0
8229a7fffffffff,21.0,0.0,1.0
8229affffffffff,12.0,0.0,0.0
8229b7fffffffff,5.0,0.0,0.0
822a07fffffffff,4.0,0.0,0.0
822a17fffffffff,552.0,0.0,7.0
822a37fffffffff,231.0,0.0,2.0
822a87fffffffff,120.0,0.0,0.0
822a8ffffffffff,2.0,0.0,0.0
822a97fffffffff,62.0,0.0,0.0
822aa7fffffffff,588.0,0.0,1.0
822aaffffffffff,534.0,0.0,17.0
822ab7fffffffff,215.0,0.0,31.0
822b07fffffffff,14.0,0.0,0.0
822b0ffffffffff,9.0,0.0,1.0
822b17fffffffff,21.0,0.0,0.0
822b1ffffffffff,15.0,0.0,0.0
822b27fffffffff,2.0,0.0,0.0
822b37fffffffff,24.0,0.0,1.0
822b87fffffffff,83.0,0.0,9.0
822b8ffffffffff,316.0,0.0,135.0
822b97fffffffff,13.0,0.0,6.0
822b9ffffffffff,533.0,0.0,194.0
822ba7fffffffff,34.0,0.0,0.0
822baffffffffff,185.0,0.0,1.0
822bb7fffffffff,6.0,0.0,0.0
822eaffffffffff,6.0,6.0,0.0
822f5ffffffffff,2.0,0.0,0.0
8230e7fffffffff,3.0,0.0,0.0
82316ffffffffff,6.0,2.0,0.0
823187fffffffff,26.0,0.0,0.0
82485ffffffffff,2.0,0.0,0.0
82489ffffffffff,115.0,0.0,0.0
8248c7fffffffff,78.0,0.0,0.0
8248cffffffffff,27.0,0.0,0.0
8248d7fffffffff,7.0,0.0,0.0
8248dffffffffff,38.0,0.0,0.0
