cell_id,Lampornis amethystinus,Lampornis amethystinus [amethystinus Group],Lampornis amethystinus margaritae
844520dffffffff,28.0,0.0,0.0
8445241ffffffff,19.0,0.0,0.0
8445243ffffffff,23.0,0.0,0.0
8445245ffffffff,10.0,0.0,0.0
8445247ffffffff,10.0,0.0,0.0
844524bffffffff,49.0,0.0,0.0
8445253ffffffff,36.0,0.0,0.0
844525bffffffff,166.0,0.0,0.0
8445269ffffffff,15.0,0.0,0.0
844526dffffffff,4.0,0.0,0.0
844836dffffffff,98.0,3.0,0.0
8448a29ffffffff,6.0,0.0,0.0
8449801ffffffff,11.0,0.0,0.0
8449829ffffffff,2.0,0.0,0.0
8449851ffffffff,1.0,0.0,0.0
8449861ffffffff,12.0,0.0,0.0
8449863ffffffff,13.0,0.0,0.0
8449865ffffffff,12.0,0.0,0.0
8449901ffffffff,7.0,0.0,0.0
8449905ffffffff,1.0,0.0,0.0
844990bffffffff,8.0,0.0,0.0
8449913ffffffff,2.0,0.0,0.0
8449917ffffffff,10.0,0.0,0.0
844991dffffffff,8.0,1.0,0.0
8449959ffffffff,133.0,0.0,0.0
844995dffffffff,5.0,0.0,0.0
8449963ffffffff,215.0,43.0,0.0
8449969ffffffff,8.0,0.0,0.0
844996bffffffff,12.0,4.0,0.0
8449981ffffffff,4.0,0.0,0.0
8449987ffffffff,34.0,0.0,0.0
84499c5ffffffff,14.0,0.0,0.0
84499e3ffffffff,3.0,0.0,0.0
8449a81ffffffff,76.0,0.0,0.0
8449a83ffffffff,15.0,0.0,0.0
8449a85ffffffff,121.0,2.0,0.0
8449a91ffffffff,1.0,0.0,0.0
8449a95ffffffff,9.0,0.0,0.0
8449a97ffffffff,12.0,0.0,0.0
8449aa9ffffffff,5.0,0.0,0.0
8449b0bffffffff,2.0,0.0,0.0
8449b19ffffffff,57.0,0.0,17.0
8449b1dffffffff,33.0,0.0,7.0
8449b33ffffffff,39.0,0.0,0.0
8449b37ffffffff,10.0,0.0,0.0
8449b57ffffffff,1.0,0.0,1.0
846d049ffffffff,4.0,0.0,0.0
846d05bffffffff,23.0,4.0,0.0
846d207ffffffff,23.0,5.0,0.0
846d217ffffffff,10.0,0.0,0.0
846d239ffffffff,3.0,0.0,0.0
846d23bffffffff,761.0,133.0,0.0
846d281ffffffff,2.0,0.0,0.0
846d283ffffffff,693.0,18.0,0.0
846d285ffffffff,6.0,0.0,0.0
846d287ffffffff,265.0,10.0,0.0
846d289ffffffff,4.0,0.0,0.0
846d28dffffffff,174.0,0.0,0.0
846d291ffffffff,21.0,0.0,0.0
846d293ffffffff,2.0,0.0,0.0
846d295ffffffff,35.0,0.0,0.0
846d299ffffffff,1.0,0.0,0.0
846d2a9ffffffff,163.0,11.0,0.0
846d2abffffffff,166.0,0.0,0.0
846d2b9ffffffff,152.0,0.0,0.0
846d2c7ffffffff,7.0,0.0,0.0
846d2d1ffffffff,11.0,0.0,0.0
846d2d3ffffffff,102.0,0.0,0.0
846d2d5ffffffff,5.0,0.0,0.0
846d2d7ffffffff,57.0,0.0,0.0
846d2e3ffffffff,12.0,0.0,0.0
846d2e7ffffffff,3.0,0.0,0.0
846d2ebffffffff,8.0,0.0,0.0
846d305ffffffff,115.0,0.0,0.0
846d307ffffffff,10.0,0.0,0.0
846d32bffffffff,176.0,0.0,0.0
846d335ffffffff,67.0,0.0,0.0
846d337ffffffff,128.0,0.0,0.0
846d361ffffffff,1.0,0.0,0.0
846d363ffffffff,2.0,0.0,0.0
846d36dffffffff,46.0,0.0,0.0
846d645ffffffff,10.0,0.0,0.0
846d64dffffffff,48.0,0.0,0.0
846d66dffffffff,56.0,0.0,0.0
846d749ffffffff,23.0,0.0,0.0
