cell_id,Sporophila corvina,Sporophila corvina corvina,Sporophila corvina [ophthalmica Group]
8445207ffffffff,2.0,2.0,0.0
8445215ffffffff,1.0,0.0,0.0
8445233ffffffff,1.0,0.0,0.0
844523bffffffff,3.0,0.0,0.0
8445261ffffffff,2.0,0.0,0.0
844526bffffffff,7.0,0.0,0.0
84452a5ffffffff,5.0,0.0,0.0
84452e1ffffffff,5.0,0.0,0.0
84452ebffffffff,1.0,0.0,0.0
846610bffffffff,1.0,0.0,0.0
8466113ffffffff,8.0,0.0,2.0
8466119ffffffff,7.0,0.0,0.0
8466139ffffffff,4.0,0.0,0.0
8466189ffffffff,2.0,0.0,0.0
84661b1ffffffff,10.0,0.0,2.0
84661b3ffffffff,10.0,0.0,2.0
84661bbffffffff,5.0,0.0,0.0
84661bdffffffff,2.0,0.0,0.0
8466a05ffffffff,2.0,2.0,0.0
8466a0bffffffff,14.0,5.0,0.0
8466a51ffffffff,1.0,0.0,1.0
8466a57ffffffff,2.0,2.0,0.0
8466b01ffffffff,2.0,0.0,0.0
8466b09ffffffff,4.0,0.0,2.0
8466b0bffffffff,9.0,0.0,6.0
8466b1dffffffff,1.0,0.0,0.0
8466b41ffffffff,5.0,0.0,3.0
8466b45ffffffff,1.0,0.0,1.0
8466b47ffffffff,4.0,0.0,0.0
8466b49ffffffff,5.0,3.0,0.0
8466b4dffffffff,10.0,2.0,0.0
8466b51ffffffff,2.0,0.0,0.0
8466b55ffffffff,2.0,0.0,1.0
8466b5bffffffff,16.0,16.0,0.0
8466b5dffffffff,4.0,0.0,0.0
8466d0bffffffff,2.0,0.0,0.0
8466d31ffffffff,11.0,0.0,7.0
8466d35ffffffff,14.0,0.0,0.0
8466d37ffffffff,1.0,0.0,1.0
8466f03ffffffff,2.0,0.0,0.0
8466f1dffffffff,2.0,0.0,0.0
8466f35ffffffff,3.0,0.0,0.0
84679a1ffffffff,8.0,3.0,0.0
84679a5ffffffff,17.0,5.0,0.0
84679b5ffffffff,4.0,1.0,0.0
84679b7ffffffff,5.0,2.0,1.0
846d219ffffffff,2.0,0.0,0.0
846d21dffffffff,3.0,0.0,0.0
846d22bffffffff,2.0,2.0,0.0
846d2b9ffffffff,3.0,0.0,0.0
846d2c9ffffffff,6.0,0.0,0.0
846d2cbffffffff,1.0,0.0,0.0
846d30dffffffff,7.0,0.0,0.0
846d319ffffffff,14.0,2.0,0.0
846d35dffffffff,1.0,0.0,0.0
846d651ffffffff,12.0,0.0,0.0
846d653ffffffff,3.0,0.0,0.0
846d659ffffffff,2.0,0.0,0.0
846d681ffffffff,11.0,0.0,0.0
846d683ffffffff,39.0,0.0,1.0
846d685ffffffff,1.0,0.0,0.0
846d687ffffffff,22.0,0.0,0.0
846d689ffffffff,5.0,0.0,0.0
846d68bffffffff,3.0,3.0,0.0
846d691ffffffff,5.0,2.0,0.0
846d695ffffffff,66.0,0.0,0.0
846d697ffffffff,19.0,0.0,13.0
846d699ffffffff,4.0,4.0,0.0
846d69bffffffff,5.0,5.0,0.0
846d69dffffffff,32.0,23.0,2.0
846d6b9ffffffff,6.0,0.0,0.0
846d6bbffffffff,6.0,0.0,0.0
846d6d1ffffffff,1.0,0.0,0.0
846d6d3ffffffff,2.0,1.0,0.0
846d6d5ffffffff,1.0,1.0,0.0
846d6e9ffffffff,4.0,0.0,0.0
848f0d3ffffffff,2.0,0.0,2.0
848f0dbffffffff,4.0,0.0,0.0
848f2c3ffffffff,2.0,0.0,2.0
848f2cdffffffff,3.0,0.0,3.0
848f501ffffffff,1.0,0.0,0.0
848f721ffffffff,3.0,0.0,1.0
