cell_id,Eubucco richardsoni,Eubucco richardsoni richardsoni/nigriceps,Eubucco richardsoni aurantiicollis/purusianus
82665ffffffffff,197.0,0.0,0.0
8266c7fffffffff,64.0,0.0,0.0
8266cffffffffff,3.0,0.0,0.0
8266d7fffffffff,2.0,0.0,0.0
8266dffffffffff,603.0,36.0,0.0
8266effffffffff,41.0,0.0,0.0
828a07fffffffff,2.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0
828a47fffffffff,20.0,0.0,0.0
828a4ffffffffff,1.0,0.0,0.0
828a6ffffffffff,170.0,0.0,0.0
828b2ffffffffff,1.0,0.0,0.0
828b47fffffffff,480.0,0.0,8.0
828b4ffffffffff,6.0,0.0,0.0
828b57fffffffff,1.0,0.0,0.0
828b5ffffffffff,58.0,0.0,0.0
828b67fffffffff,565.0,0.0,22.0
828b6ffffffffff,78.0,0.0,0.0
828b77fffffffff,91.0,0.0,0.0
828e67fffffffff,8.0,0.0,0.0
828f47fffffffff,50.0,0.0,0.0
828f4ffffffffff,23.0,0.0,0.0
828f67fffffffff,49.0,0.0,0.0
828f6ffffffffff,53.0,0.0,0.0
828f77fffffffff,226.0,21.0,0.0
