cell_id,Cissa chinensis,Cissa chinensis [chinensis Group],Cissa chinensis margaritae
833c02fffffffff,2.0,2.0,0.0
833c0afffffffff,4.0,4.0,0.0
833c19fffffffff,33.0,0.0,0.0
833c1dfffffffff,2.0,2.0,0.0
833c33fffffffff,2.0,0.0,0.0
833c52fffffffff,4.0,4.0,0.0
833c58fffffffff,3.0,3.0,0.0
833c5afffffffff,1.0,1.0,0.0
833ce0fffffffff,1.0,0.0,0.0
833ce1fffffffff,5.0,0.0,0.0
833ce4fffffffff,2.0,0.0,0.0
833dadfffffffff,18.0,5.0,0.0
83651cfffffffff,8.0,0.0,0.0
83659cfffffffff,2.0,0.0,0.0
8365b6fffffffff,2.0,0.0,2.0
