cell_id,Campocolinus albogularis,Campocolinus albogularis albogularis/buckleyi,Campocolinus albogularis dewittei
84540abffffffff,2.0,0.0,0.0
845419bffffffff,1.0,0.0,0.0
845440dffffffff,1.0,0.0,0.0
845449bffffffff,1.0,0.0,0.0
84545d9ffffffff,1.0,0.0,0.0
8454e43ffffffff,1.0,0.0,0.0
8454e49ffffffff,1.0,0.0,0.0
8454e4bffffffff,2.0,0.0,0.0
8454e4dffffffff,6.0,3.0,0.0
8454e65ffffffff,1.0,0.0,0.0
8454f6bffffffff,1.0,0.0,0.0
8458183ffffffff,1.0,0.0,0.0
8458849ffffffff,1.0,0.0,0.0
8458cd9ffffffff,14.0,2.0,0.0
8458f47ffffffff,1.0,0.0,0.0
84599abffffffff,1.0,0.0,0.0
84599e7ffffffff,2.0,0.0,0.0
84750d3ffffffff,2.0,0.0,0.0
8475119ffffffff,1.0,0.0,0.0
8475201ffffffff,89.0,5.0,0.0
8475205ffffffff,2.0,0.0,0.0
8475207ffffffff,93.0,18.0,0.0
847529bffffffff,2.0,0.0,0.0
84752b5ffffffff,1.0,0.0,0.0
8475327ffffffff,1.0,0.0,0.0
