cell_id,Trochalopteron erythrocephalum,Trochalopteron erythrocephalum erythrocephalum/kali,Trochalopteron erythrocephalum nigrimentum
83209afffffffff,2.0,0.0,0.0
833c02fffffffff,2.0,0.0,0.0
833c0afffffffff,17.0,0.0,0.0
833c1dfffffffff,9.0,0.0,0.0
833c52fffffffff,6.0,0.0,0.0
833c58fffffffff,157.0,0.0,0.0
833c59fffffffff,5.0,0.0,0.0
833c5bfffffffff,9.0,0.0,0.0
833c5dfffffffff,3.0,0.0,0.0
833ce4fffffffff,7.0,0.0,0.0
833d13fffffffff,1.0,0.0,0.0
833d15fffffffff,2.0,0.0,0.0
833d1efffffffff,7.0,0.0,0.0
833d30fffffffff,28.0,0.0,0.0
833d34fffffffff,6.0,0.0,0.0
833dadfffffffff,20.0,0.0,0.0
834269fffffffff,1.0,0.0,0.0
