cell_id,Sicalis luteola,Sicalis luteola [chrysops Group],Sicalis luteola bogotensis,Sicalis luteola [luteola Group]
834505fffffffff,3.0,0.0,0.0,0.0
834523fffffffff,8.0,3.0,0.0,0.0
834525fffffffff,4.0,0.0,0.0,0.0
83452afffffffff,45.0,0.0,0.0,0.0
83452cfffffffff,53.0,21.0,0.0,0.0
83452dfffffffff,2.0,1.0,0.0,0.0
83452efffffffff,7.0,0.0,0.0,0.0
834531fffffffff,6.0,0.0,0.0,0.0
834535fffffffff,3.0,0.0,0.0,0.0
834995fffffffff,28.0,4.0,0.0,0.0
834996fffffffff,6.0,4.0,0.0,0.0
8349b3fffffffff,2.0,0.0,0.0,0.0
835e66fffffffff,3.0,0.0,0.0,0.0
835e72fffffffff,2.0,0.0,0.0,0.0
835f58fffffffff,6.0,0.0,0.0,4.0
836656fffffffff,2.0,0.0,0.0,0.0
8366a1fffffffff,11.0,0.0,0.0,0.0
8366c2fffffffff,2.0,0.0,2.0,0.0
8366d1fffffffff,1.0,0.0,1.0,0.0
8366d3fffffffff,7.0,0.0,3.0,0.0
8366d5fffffffff,2.0,0.0,0.0,0.0
8366defffffffff,4.0,0.0,2.0,0.0
8366e4fffffffff,1.0,0.0,0.0,0.0
8366e5fffffffff,1.0,0.0,0.0,0.0
8366e6fffffffff,3.0,0.0,3.0,0.0
8366f5fffffffff,26.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0
836794fffffffff,3.0,0.0,0.0,0.0
836d25fffffffff,30.0,16.0,0.0,0.0
836d34fffffffff,12.0,0.0,0.0,0.0
836d61fffffffff,13.0,0.0,0.0,0.0
836d64fffffffff,3.0,0.0,0.0,0.0
836d65fffffffff,57.0,0.0,0.0,0.0
838044fffffffff,2.0,0.0,0.0,0.0
838133fffffffff,2.0,0.0,0.0,0.0
83814afffffffff,3.0,0.0,0.0,0.0
8381aefffffffff,2.0,0.0,0.0,0.0
838b2cfffffffff,3.0,0.0,0.0,0.0
838b61fffffffff,2.0,0.0,0.0,2.0
838e62fffffffff,2.0,0.0,1.0,0.0
838f2dfffffffff,1.0,0.0,0.0,0.0
838f50fffffffff,25.0,5.0,0.0,0.0
838f55fffffffff,3.0,0.0,3.0,0.0
83a811fffffffff,5.0,0.0,0.0,0.0
83a812fffffffff,5.0,0.0,0.0,3.0
83a81efffffffff,1.0,0.0,0.0,0.0
83a905fffffffff,4.0,0.0,0.0,4.0
83a921fffffffff,3.0,0.0,0.0,0.0
83a92cfffffffff,1.0,0.0,0.0,0.0
83a92efffffffff,1.0,0.0,0.0,1.0
83a940fffffffff,2.0,0.0,0.0,0.0
83a941fffffffff,4.0,0.0,0.0,0.0
83a942fffffffff,3.0,0.0,0.0,0.0
83a946fffffffff,26.0,0.0,0.0,0.0
83a94cfffffffff,3.0,0.0,0.0,0.0
83a94efffffffff,2.0,0.0,0.0,0.0
83a961fffffffff,31.0,0.0,0.0,0.0
83a962fffffffff,3.0,0.0,0.0,0.0
83a965fffffffff,7.0,0.0,0.0,0.0
83a96afffffffff,2.0,0.0,0.0,0.0
83a96cfffffffff,1.0,0.0,0.0,0.0
83a96dfffffffff,7.0,0.0,0.0,0.0
83b201fffffffff,2.0,0.0,0.0,0.0
83b219fffffffff,6.0,0.0,0.0,0.0
83b222fffffffff,1.0,0.0,0.0,0.0
83b224fffffffff,6.0,0.0,0.0,0.0
83b226fffffffff,28.0,0.0,0.0,0.0
83b248fffffffff,67.0,0.0,0.0,0.0
83b249fffffffff,57.0,0.0,0.0,0.0
83b24afffffffff,1.0,0.0,0.0,0.0
83b24bfffffffff,14.0,0.0,0.0,0.0
83b24dfffffffff,507.0,0.0,0.0,0.0
83b24efffffffff,7.0,0.0,0.0,0.0
83b259fffffffff,6.0,0.0,0.0,2.0
83b25bfffffffff,6.0,0.0,0.0,0.0
83b25cfffffffff,6.0,0.0,0.0,0.0
83b25dfffffffff,3.0,0.0,0.0,3.0
83b261fffffffff,10.0,0.0,0.0,0.0
83b268fffffffff,27.0,0.0,0.0,0.0
83b269fffffffff,52.0,0.0,0.0,0.0
83b26bfffffffff,38.0,0.0,0.0,0.0
83b26cfffffffff,8.0,0.0,0.0,0.0
83b26dfffffffff,14.0,0.0,0.0,0.0
83b270fffffffff,2.0,0.0,0.0,0.0
83b274fffffffff,2.0,0.0,0.0,0.0
83b2c0fffffffff,85.0,0.0,0.0,60.0
83b2c1fffffffff,7.0,0.0,0.0,0.0
83b2c2fffffffff,8.0,0.0,0.0,0.0
83b2c3fffffffff,11.0,0.0,0.0,0.0
83b2c4fffffffff,67.0,0.0,0.0,60.0
83b2c5fffffffff,15.0,0.0,0.0,3.0
83b2ddfffffffff,4.0,0.0,0.0,0.0
83b2e2fffffffff,29.0,0.0,0.0,1.0
83b2e3fffffffff,2.0,0.0,0.0,0.0
83b2e4fffffffff,4.0,0.0,0.0,0.0
83b2e8fffffffff,4.0,0.0,0.0,0.0
83b2eafffffffff,1.0,0.0,0.0,0.0
83b2ecfffffffff,2.0,0.0,0.0,2.0
83b30afffffffff,1.0,0.0,0.0,0.0
83b30bfffffffff,2.0,0.0,0.0,0.0
83b320fffffffff,3.0,0.0,0.0,0.0
83b32cfffffffff,7.0,0.0,0.0,0.0
83b330fffffffff,1.0,0.0,0.0,0.0
83b342fffffffff,2.0,0.0,0.0,0.0
83b35afffffffff,11.0,0.0,0.0,0.0
83b366fffffffff,1.0,0.0,0.0,0.0
83c219fffffffff,3.0,0.0,0.0,3.0
83c21bfffffffff,11.0,0.0,0.0,11.0
83c22cfffffffff,3.0,0.0,0.0,3.0
83c2c1fffffffff,9.0,0.0,0.0,0.0
83c2c4fffffffff,3.0,0.0,0.0,0.0
83c2c5fffffffff,30.0,0.0,0.0,4.0
83c2c6fffffffff,8.0,0.0,0.0,0.0
83c2c9fffffffff,136.0,0.0,0.0,0.0
83c2cafffffffff,10.0,0.0,0.0,0.0
83c2cdfffffffff,28.0,0.0,0.0,0.0
83c2d0fffffffff,16.0,0.0,0.0,0.0
83c2d4fffffffff,2.0,0.0,0.0,0.0
83c2d9fffffffff,2.0,0.0,0.0,0.0
83c2e0fffffffff,2.0,0.0,0.0,0.0
83c2e3fffffffff,5.0,0.0,0.0,0.0
83c2e9fffffffff,104.0,0.0,0.0,0.0
83c2ebfffffffff,18.0,0.0,0.0,0.0
83c2f1fffffffff,11.0,0.0,0.0,0.0
83c2f2fffffffff,1.0,0.0,0.0,0.0
83c2f3fffffffff,2.0,0.0,0.0,0.0
83c320fffffffff,3.0,0.0,0.0,3.0
83c321fffffffff,3.0,0.0,0.0,3.0
83c329fffffffff,3.0,0.0,0.0,3.0
83c32efffffffff,9.0,0.0,0.0,6.0
83c340fffffffff,3.0,0.0,0.0,0.0
83c341fffffffff,2.0,0.0,0.0,0.0
83c343fffffffff,4.0,0.0,0.0,0.0
83c34bfffffffff,53.0,0.0,0.0,0.0
83c350fffffffff,5.0,0.0,0.0,5.0
83c371fffffffff,3.0,0.0,0.0,0.0
83ce81fffffffff,1.0,0.0,0.0,0.0
83ce8cfffffffff,2.0,0.0,0.0,0.0
83ce8efffffffff,1.0,0.0,0.0,1.0
83cea3fffffffff,2.0,0.0,0.0,0.0
83cea4fffffffff,3.0,0.0,0.0,0.0
83cea5fffffffff,4.0,0.0,0.0,0.0
83ceaafffffffff,4.0,0.0,0.0,4.0
83cf88fffffffff,1.0,0.0,0.0,0.0
83cf8bfffffffff,7.0,0.0,0.0,0.0
83cf8efffffffff,7.0,0.0,0.0,0.0
83cf9dfffffffff,2.0,0.0,0.0,0.0
83cfa3fffffffff,2.0,0.0,0.0,0.0
83cfb1fffffffff,2.0,0.0,0.0,0.0
83de70fffffffff,1.0,0.0,0.0,0.0
