cell_id,Picoides tridactylus,Picoides tridactylus [tridactylus Group],Picoides tridactylus funebris
8208a7fffffffff,3.0,3.0,0.0
8208c7fffffffff,2.0,0.0,0.0
82112ffffffffff,2.0,0.0,0.0
821137fffffffff,5.0,0.0,0.0
8211affffffffff,6.0,6.0,0.0
82159ffffffffff,3.0,3.0,0.0
821e07fffffffff,17.0,0.0,0.0
821e0ffffffffff,2.0,0.0,0.0
821e37fffffffff,25.0,0.0,0.0
821e57fffffffff,1.0,0.0,0.0
821e67fffffffff,1.0,0.0,0.0
821eaffffffffff,2.0,0.0,0.0
821ec7fffffffff,26.0,2.0,0.0
821ef7fffffffff,2.0,0.0,0.0
821f5ffffffffff,1.0,1.0,0.0
821f87fffffffff,7.0,1.0,0.0
821f8ffffffffff,1.0,0.0,0.0
821f97fffffffff,17.0,0.0,0.0
821f9ffffffffff,2.0,0.0,0.0
822427fffffffff,2.0,2.0,0.0
82255ffffffffff,7.0,1.0,0.0
8240c7fffffffff,2.0,0.0,2.0
8240e7fffffffff,2.0,0.0,2.0
8240effffffffff,3.0,0.0,3.0
