cell_id,Phalacrocorax carbo,Phalacrocorax carbo carbo,Phalacrocorax carbo novaehollandiae,Phalacrocorax carbo sinensis/hanedae,Phalacrocorax carbo maroccanus,Phalacrocorax carbo lucidus,Phalacrocorax carbo carbo/sinensis
830120fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830122fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
830123fffffffff,9.0,2.0,0.0,0.0,0.0,0.0,0.0
830125fffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0
830126fffffffff,7.0,5.0,0.0,0.0,0.0,0.0,0.0
830130fffffffff,275.0,42.0,0.0,0.0,0.0,0.0,0.0
830131fffffffff,140.0,9.0,0.0,0.0,0.0,0.0,0.0
830134fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830135fffffffff,292.0,48.0,0.0,0.0,0.0,0.0,0.0
830136fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830688fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830689fffffffff,5.0,1.0,0.0,0.0,0.0,0.0,0.0
830695fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8306d1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8306ddfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8306f2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830741fffffffff,57.0,24.0,0.0,0.0,0.0,0.0,0.0
830742fffffffff,22.0,11.0,0.0,0.0,0.0,0.0,0.0
830743fffffffff,211.0,38.0,0.0,0.0,0.0,0.0,0.0
830745fffffffff,16.0,7.0,0.0,0.0,0.0,0.0,0.0
830746fffffffff,200.0,142.0,0.0,0.0,0.0,0.0,0.0
83074efffffffff,77.0,17.0,0.0,0.0,0.0,0.0,0.0
830751fffffffff,52.0,8.0,0.0,0.0,0.0,0.0,0.0
830753fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
830755fffffffff,55.0,16.0,0.0,0.0,0.0,0.0,0.0
830758fffffffff,235.0,31.0,0.0,0.0,0.0,0.0,0.0
83075cfffffffff,239.0,32.0,0.0,0.0,0.0,0.0,0.0
83075dfffffffff,1085.0,328.0,0.0,0.0,0.0,0.0,0.0
83075efffffffff,301.0,22.0,0.0,0.0,0.0,0.0,0.0
830762fffffffff,114.0,84.0,0.0,0.0,0.0,0.0,0.0
830763fffffffff,53.0,22.0,0.0,0.0,0.0,0.0,0.0
83076afffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
830770fffffffff,53.0,24.0,0.0,0.0,0.0,0.0,0.0
830771fffffffff,45.0,19.0,0.0,0.0,0.0,0.0,0.0
830773fffffffff,472.0,323.0,0.0,0.0,0.0,0.0,0.0
830775fffffffff,10.0,3.0,0.0,0.0,0.0,0.0,0.0
830800fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830802fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830803fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830805fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
830806fffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
830815fffffffff,163.0,2.0,0.0,4.0,0.0,0.0,0.0
830819fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830828fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830829fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
83082afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83082bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830830fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
830832fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830833fffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
830836fffffffff,38.0,2.0,0.0,0.0,0.0,0.0,0.0
830880fffffffff,64.0,8.0,0.0,0.0,0.0,0.0,0.0
830882fffffffff,49.0,6.0,0.0,0.0,0.0,0.0,0.0
830883fffffffff,78.0,3.0,0.0,0.0,0.0,0.0,0.0
830884fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
830885fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
830886fffffffff,476.0,37.0,0.0,0.0,0.0,0.0,0.0
830888fffffffff,95.0,13.0,0.0,0.0,0.0,0.0,15.0
83088afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83088bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83088dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83088efffffffff,62.0,2.0,0.0,2.0,0.0,0.0,31.0
830890fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0
830893fffffffff,120.0,0.0,0.0,0.0,0.0,0.0,0.0
830895fffffffff,173.0,42.0,0.0,0.0,0.0,0.0,0.0
830896fffffffff,81.0,6.0,0.0,0.0,0.0,0.0,0.0
830898fffffffff,139.0,0.0,0.0,0.0,0.0,0.0,0.0
830899fffffffff,301.0,5.0,0.0,2.0,0.0,0.0,36.0
83089afffffffff,253.0,3.0,0.0,0.0,0.0,0.0,0.0
83089bfffffffff,221.0,5.0,0.0,0.0,0.0,0.0,0.0
83089cfffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
83089dfffffffff,120.0,0.0,0.0,0.0,0.0,0.0,0.0
83089efffffffff,240.0,11.0,0.0,0.0,0.0,0.0,0.0
8308a2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308a4fffffffff,9.0,0.0,0.0,3.0,0.0,0.0,0.0
8308a6fffffffff,8.0,3.0,0.0,0.0,0.0,0.0,0.0
8308a9fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308abfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308aefffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b0fffffffff,48.0,5.0,0.0,0.0,0.0,0.0,0.0
8308b1fffffffff,91.0,10.0,0.0,0.0,0.0,0.0,0.0
8308b2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b3fffffffff,53.0,6.0,0.0,0.0,0.0,0.0,0.0
8308b4fffffffff,14.0,2.0,0.0,0.0,0.0,0.0,0.0
8308b5fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8308b6fffffffff,16.0,1.0,0.0,0.0,0.0,0.0,0.0
8308c1fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8308c2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,1.0
8308c9fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8308d1fffffffff,14.0,0.0,0.0,1.0,0.0,0.0,0.0
8308d4fffffffff,25.0,2.0,0.0,0.0,0.0,0.0,0.0
8308d5fffffffff,39.0,5.0,0.0,0.0,0.0,0.0,1.0
