cell_id,Artemisiospiza belli,Artemisiospiza belli belli,Artemisiospiza belli canescens,Artemisiospiza belli clementeae,Artemisiospiza belli cinerea
822817fffffffff,8.0,1.0,0.0,0.0,0.0
822837fffffffff,1076.0,235.0,0.0,0.0,0.0
822917fffffffff,11.0,0.0,0.0,0.0,0.0
82291ffffffffff,7.0,5.0,0.0,0.0,0.0
822987fffffffff,771.0,0.0,369.0,0.0,0.0
82298ffffffffff,72.0,8.0,18.0,0.0,0.0
8229a7fffffffff,7837.0,319.0,2046.0,849.0,0.0
8229affffffffff,4816.0,325.0,1734.0,0.0,0.0
8229b7fffffffff,104.0,0.0,41.0,0.0,0.0
824847fffffffff,11.0,0.0,0.0,0.0,0.0
82484ffffffffff,10.0,2.0,0.0,0.0,0.0
824857fffffffff,4.0,0.0,0.0,0.0,3.0
82485ffffffffff,197.0,38.0,6.0,0.0,1.0
824877fffffffff,95.0,2.0,0.0,0.0,21.0
