cell_id,Tanysiptera galatea,Tanysiptera galatea [galatea Group],Tanysiptera galatea rosseliana
8272a7fffffffff,3.0,0.0,0.0
8272b7fffffffff,3.0,0.0,0.0
8272d7fffffffff,1.0,0.0,0.0
8272dffffffffff,207.0,0.0,0.0
8272f7fffffffff,40.0,0.0,0.0
827397fffffffff,154.0,1.0,0.0
82739ffffffffff,399.0,0.0,0.0
829547fffffffff,29.0,0.0,0.0
829567fffffffff,2.0,0.0,0.0
82956ffffffffff,107.0,2.0,0.0
829c9ffffffffff,258.0,0.0,0.0
829ca7fffffffff,3.0,0.0,0.0
829caffffffffff,44.0,0.0,0.0
829cc7fffffffff,1.0,0.0,0.0
829cd7fffffffff,98.0,0.0,0.0
