cell_id,Patagona gigas,Patagona gigas peruviana,Patagona gigas gigas
8266d7fffffffff,18.0,0.0,0.0
8266dffffffffff,1.0,0.0,0.0
828b2ffffffffff,3.0,0.0,0.0
828e67fffffffff,4.0,0.0,0.0
828f57fffffffff,2.0,0.0,0.0
828f5ffffffffff,1.0,0.0,0.0
82b21ffffffffff,19.0,0.0,0.0
82b227fffffffff,9.0,0.0,0.0
82b257fffffffff,4.0,0.0,0.0
82b2c7fffffffff,64.0,0.0,0.0
82b2cffffffffff,1.0,0.0,0.0
82b2dffffffffff,1.0,0.0,0.0
82b2e7fffffffff,2.0,0.0,0.0
82b307fffffffff,13.0,0.0,0.0
82b30ffffffffff,7.0,0.0,0.0
82b337fffffffff,3.0,0.0,0.0
82b347fffffffff,4.0,0.0,0.0
82b357fffffffff,2.0,0.0,0.0
82ce8ffffffffff,14.0,0.0,0.0
82ce9ffffffffff,2.0,0.0,0.0
