cell_id,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae [sanctithomae Group],Dendrocolaptes sanctithomae punctipectus
824507fffffffff,59.0,0.0,0.0
82450ffffffffff,503.0,17.0,0.0
824527fffffffff,1104.0,0.0,0.0
82452ffffffffff,3443.0,8.0,0.0
824537fffffffff,165.0,0.0,0.0
824577fffffffff,1.0,0.0,0.0
8249b7fffffffff,35.0,0.0,0.0
82660ffffffffff,34.0,0.0,0.0
826617fffffffff,590.0,0.0,0.0
82661ffffffffff,139.0,1.0,0.0
8266a7fffffffff,2049.0,0.0,0.0
8266b7fffffffff,1312.0,0.0,0.0
8266d7fffffffff,404.0,54.0,0.0
8266f7fffffffff,417.0,6.0,0.0
826797fffffffff,43.0,0.0,0.0
82679ffffffffff,1493.0,0.0,0.0
826d07fffffffff,4.0,0.0,0.0
826d17fffffffff,44.0,10.0,0.0
826d27fffffffff,90.0,6.0,0.0
826d2ffffffffff,107.0,14.0,0.0
826d37fffffffff,88.0,2.0,0.0
826d67fffffffff,637.0,0.0,0.0
826d6ffffffffff,7532.0,0.0,0.0
826d77fffffffff,29.0,0.0,0.0
828f2ffffffffff,51.0,0.0,0.0
