cell_id,Cistothorus platensis,Cistothorus platensis [elegans Group],Cistothorus platensis alticola,Cistothorus platensis aequatorialis,Cistothorus platensis graminicola,Cistothorus platensis minimus,Cistothorus platensis tucumanus,Cistothorus platensis platensis/polyglottus,Cistothorus platensis hornensis/falklandicus
838e66fffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838e6dfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838f29fffffffff,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
838f2bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838f2dfffffffff,101.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
838f42fffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838f46fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838f4afffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838f50fffffffff,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
838f51fffffffff,47.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
838f54fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838f55fffffffff,120.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0
838f59fffffffff,165.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
838f5cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838f5dfffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838f72fffffffff,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
838f74fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838f76fffffffff,661.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0
83a804fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a82efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a852fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a881fffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a88dfffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83a88efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a8a8fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a8a9fffffffff,127.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
83a8aafffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a8aefffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83a8c2fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
83a8d1fffffffff,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83a8defffffffff,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
