cell_id,Ficedula basilanica,Ficedula basilanica samarensis,Ficedula basilanica basilanica
8468433ffffffff,2.0,0.0,0.0
8468435ffffffff,1.0,0.0,0.0
846843dffffffff,2.0,0.0,0.0
84684e5ffffffff,107.0,0.0,5.0
846856bffffffff,13.0,0.0,1.0
84685c3ffffffff,21.0,0.0,0.0
84685c7ffffffff,4.0,0.0,0.0
84685d7ffffffff,3.0,0.0,0.0
84685e9ffffffff,2.0,0.0,2.0
84686e9ffffffff,13.0,0.0,0.0
