cell_id,Mareca strepera,Mareca strepera strepera,Mareca strepera couesi
820137fffffffff,4.0,0.0,0.0
820747fffffffff,676.0,24.0,0.0
820757fffffffff,12.0,0.0,0.0
82075ffffffffff,347.0,5.0,0.0
820767fffffffff,14.0,0.0,0.0
820777fffffffff,180.0,8.0,0.0
820807fffffffff,18.0,0.0,0.0
820817fffffffff,4.0,0.0,0.0
820887fffffffff,444.0,136.0,0.0
82088ffffffffff,23.0,4.0,0.0
820897fffffffff,80.0,14.0,0.0
82089ffffffffff,901.0,94.0,0.0
8208affffffffff,2.0,0.0,0.0
8208b7fffffffff,191.0,24.0,0.0
8208c7fffffffff,15.0,4.0,0.0
8208cffffffffff,2.0,0.0,0.0
8208d7fffffffff,82.0,2.0,0.0
8208dffffffffff,13.0,0.0,0.0
8208effffffffff,7.0,0.0,0.0
8208f7fffffffff,2.0,2.0,0.0
82095ffffffffff,2.0,0.0,0.0
820987fffffffff,30.0,0.0,0.0
820997fffffffff,31.0,0.0,0.0
82099ffffffffff,11.0,0.0,0.0
8209a7fffffffff,12.0,0.0,0.0
820a37fffffffff,2.0,0.0,0.0
820bb7fffffffff,5.0,0.0,0.0
820c17fffffffff,182.0,0.0,0.0
820c47fffffffff,848.0,0.0,0.0
820c57fffffffff,162.0,0.0,0.0
820c5ffffffffff,669.0,0.0,0.0
820c67fffffffff,27.0,0.0,0.0
820c6ffffffffff,4.0,0.0,0.0
820c77fffffffff,3774.0,140.0,0.0
820caffffffffff,1.0,0.0,0.0
820cdffffffffff,18.0,0.0,0.0
820ce7fffffffff,5.0,0.0,0.0
820ceffffffffff,11.0,0.0,0.0
820d4ffffffffff,49.0,0.0,0.0
820d5ffffffffff,117.0,0.0,0.0
820d67fffffffff,24.0,0.0,0.0
820d6ffffffffff,6.0,0.0,0.0
820e4ffffffffff,38.0,0.0,0.0
820e6ffffffffff,1.0,0.0,0.0
820e87fffffffff,338.0,0.0,0.0
820e8ffffffffff,2.0,0.0,0.0
820ec7fffffffff,20.0,0.0,0.0
820ecffffffffff,32.0,0.0,0.0
820ed7fffffffff,1.0,0.0,0.0
820edffffffffff,1.0,0.0,0.0
820eeffffffffff,130.0,0.0,0.0
82109ffffffffff,1.0,0.0,0.0
8210c7fffffffff,26.0,0.0,0.0
8210d7fffffffff,1.0,0.0,0.0
8210dffffffffff,8.0,0.0,0.0
821107fffffffff,300.0,0.0,0.0
82110ffffffffff,4.0,0.0,0.0
821117fffffffff,8.0,0.0,0.0
821127fffffffff,12.0,0.0,0.0
82112ffffffffff,4.0,0.0,0.0
821137fffffffff,23.0,0.0,0.0
821187fffffffff,17.0,0.0,0.0
82118ffffffffff,112.0,17.0,0.0
82119ffffffffff,1.0,1.0,0.0
8211affffffffff,289.0,90.0,0.0
821217fffffffff,8.0,0.0,0.0
82121ffffffffff,261.0,0.0,0.0
82122ffffffffff,1.0,0.0,0.0
821247fffffffff,4.0,0.0,0.0
82124ffffffffff,122.0,0.0,0.0
821257fffffffff,857.0,129.0,0.0
82125ffffffffff,1622.0,0.0,0.0
821277fffffffff,66.0,13.0,0.0
821287fffffffff,42.0,0.0,0.0
82128ffffffffff,342.0,0.0,0.0
821297fffffffff,15.0,0.0,0.0
82129ffffffffff,15.0,0.0,0.0
8212affffffffff,201.0,0.0,0.0
8212b7fffffffff,83.0,0.0,0.0
8212c7fffffffff,731.0,0.0,0.0
8212cffffffffff,10713.0,0.0,0.0
8212d7fffffffff,4640.0,0.0,0.0
8212dffffffffff,4965.0,0.0,0.0
8212e7fffffffff,583.0,11.0,0.0
8212effffffffff,5992.0,69.0,0.0
8212f7fffffffff,111.0,0.0,0.0
821357fffffffff,12.0,0.0,0.0
821387fffffffff,583.0,0.0,0.0
82138ffffffffff,18.0,0.0,0.0
821397fffffffff,37.0,0.0,0.0
82139ffffffffff,135.0,0.0,0.0
8213a7fffffffff,2.0,0.0,0.0
8213b7fffffffff,49.0,0.0,0.0
