cell_id,Leptopogon superciliaris,Leptopogon superciliaris transandinus,Leptopogon superciliaris superciliaris,Leptopogon superciliaris albidiventer
835f48fffffffff,10.0,0.0,0.0,0.0
835f4afffffffff,34.0,0.0,0.0,0.0
835f4bfffffffff,60.0,0.0,0.0,0.0
835f58fffffffff,200.0,0.0,0.0,0.0
835f5bfffffffff,4.0,0.0,0.0,0.0
836601fffffffff,70.0,0.0,0.0,0.0
836603fffffffff,2.0,0.0,0.0,0.0
836604fffffffff,1.0,0.0,0.0,0.0
836608fffffffff,359.0,0.0,0.0,0.0
836609fffffffff,2.0,0.0,0.0,0.0
83660afffffffff,16.0,0.0,0.0,0.0
83660bfffffffff,80.0,0.0,0.0,0.0
83660cfffffffff,59.0,0.0,0.0,0.0
83660dfffffffff,55.0,0.0,0.0,0.0
83660efffffffff,1.0,0.0,0.0,0.0
836611fffffffff,7.0,0.0,0.0,0.0
836613fffffffff,22.0,0.0,0.0,0.0
836618fffffffff,170.0,0.0,3.0,0.0
836619fffffffff,1294.0,0.0,43.0,0.0
83661bfffffffff,1475.0,0.0,12.0,0.0
83661cfffffffff,56.0,0.0,0.0,0.0
83661dfffffffff,580.0,0.0,5.0,0.0
83661efffffffff,17.0,0.0,0.0,0.0
836620fffffffff,1.0,0.0,0.0,0.0
836621fffffffff,98.0,0.0,0.0,0.0
836622fffffffff,19.0,0.0,0.0,0.0
836629fffffffff,51.0,0.0,0.0,0.0
83662bfffffffff,42.0,0.0,2.0,0.0
83662dfffffffff,58.0,0.0,0.0,0.0
83662efffffffff,20.0,0.0,0.0,0.0
836652fffffffff,2.0,0.0,0.0,0.0
836656fffffffff,68.0,0.0,1.0,0.0
836673fffffffff,2.0,0.0,0.0,0.0
836676fffffffff,3.0,0.0,0.0,0.0
8366a0fffffffff,17.0,0.0,0.0,0.0
8366b4fffffffff,2765.0,0.0,0.0,0.0
8366b5fffffffff,513.0,0.0,0.0,0.0
8366c0fffffffff,442.0,0.0,0.0,0.0
8366c2fffffffff,322.0,0.0,0.0,0.0
8366c4fffffffff,100.0,0.0,0.0,0.0
8366c5fffffffff,7.0,0.0,0.0,0.0
8366c6fffffffff,179.0,0.0,2.0,0.0
8366d0fffffffff,679.0,0.0,0.0,0.0
8366d1fffffffff,94.0,0.0,0.0,0.0
8366d2fffffffff,49.0,2.0,0.0,0.0
8366d3fffffffff,3416.0,371.0,0.0,0.0
8366d5fffffffff,4.0,0.0,0.0,0.0
8366dafffffffff,118.0,0.0,12.0,0.0
8366defffffffff,1368.0,0.0,147.0,0.0
8366e0fffffffff,505.0,0.0,5.0,0.0
8366e1fffffffff,34.0,0.0,0.0,0.0
8366e2fffffffff,24.0,0.0,0.0,0.0
8366e3fffffffff,82.0,0.0,1.0,0.0
8366e4fffffffff,143.0,0.0,0.0,0.0
8366e5fffffffff,1752.0,0.0,12.0,0.0
8366e6fffffffff,1676.0,0.0,32.0,0.0
8366ecfffffffff,4.0,0.0,0.0,0.0
8366eefffffffff,2.0,0.0,0.0,0.0
8366f0fffffffff,498.0,11.0,0.0,0.0
8366f1fffffffff,531.0,0.0,1.0,0.0
8366f3fffffffff,2.0,0.0,0.0,0.0
8366f5fffffffff,773.0,0.0,8.0,0.0
