cell_id,Saucerottia cyanocephala,Saucerottia cyanocephala cyanocephala,Saucerottia cyanocephala chlorostephana
844505bffffffff,3.0,0.0,0.0
8445201ffffffff,2.0,0.0,0.0
844520bffffffff,4.0,0.0,0.0
8445213ffffffff,81.0,0.0,0.0
8445247ffffffff,2.0,2.0,0.0
8445253ffffffff,1.0,0.0,0.0
844525bffffffff,8.0,5.0,0.0
844526bffffffff,1.0,0.0,0.0
84452adffffffff,13.0,0.0,0.0
84452e1ffffffff,1.0,0.0,0.0
84452e9ffffffff,1.0,0.0,0.0
8445363ffffffff,4.0,0.0,4.0
8445367ffffffff,4.0,0.0,4.0
8449827ffffffff,2.0,0.0,0.0
8449901ffffffff,2.0,0.0,0.0
8449961ffffffff,1.0,0.0,0.0
8449963ffffffff,14.0,3.0,0.0
844996bffffffff,2.0,0.0,0.0
8449987ffffffff,3.0,2.0,0.0
84499c1ffffffff,2.0,0.0,0.0
846d231ffffffff,1.0,0.0,0.0
846d239ffffffff,1.0,0.0,0.0
846d23bffffffff,3.0,0.0,0.0
846d23dffffffff,3.0,0.0,0.0
846d283ffffffff,1.0,1.0,0.0
846d291ffffffff,2.0,0.0,0.0
846d295ffffffff,9.0,7.0,0.0
846d2b9ffffffff,5.0,0.0,0.0
846d2d3ffffffff,8.0,6.0,0.0
846d2d7ffffffff,28.0,24.0,0.0
846d30dffffffff,3.0,0.0,0.0
846d313ffffffff,2.0,0.0,0.0
846d32bffffffff,2.0,0.0,0.0
846d35dffffffff,1.0,0.0,0.0
846d613ffffffff,2.0,0.0,0.0
846d65dffffffff,10.0,10.0,0.0
