cell_id,Malurus splendens,Malurus splendens splendens,Malurus splendens callainus,Malurus splendens melanotus/emmottorum
849d443ffffffff,20.0,0.0,0.0,0.0
849d447ffffffff,3.0,0.0,0.0,0.0
849d449ffffffff,3.0,0.0,0.0,0.0
849d44bffffffff,18.0,0.0,0.0,0.0
849d46bffffffff,6.0,0.0,0.0,0.0
849d601ffffffff,10.0,0.0,0.0,0.0
849d609ffffffff,2.0,0.0,0.0,0.0
849d60bffffffff,2.0,0.0,0.0,0.0
849d613ffffffff,2.0,0.0,0.0,0.0
849d62bffffffff,1.0,0.0,0.0,0.0
849d637ffffffff,2.0,0.0,0.0,0.0
849d63dffffffff,15.0,0.0,0.0,0.0
849d657ffffffff,10.0,0.0,0.0,0.0
849d661ffffffff,5.0,0.0,0.0,0.0
849d66dffffffff,1.0,0.0,0.0,0.0
849d755ffffffff,2.0,0.0,0.0,0.0
849d75dffffffff,5.0,0.0,0.0,0.0
84a6261ffffffff,4.0,0.0,0.0,0.0
84a6267ffffffff,3.0,0.0,0.0,0.0
84a630dffffffff,2.0,0.0,0.0,0.0
84a631dffffffff,2.0,0.0,0.0,0.0
84a6345ffffffff,2.0,0.0,0.0,0.0
84a6359ffffffff,4.0,0.0,0.0,0.0
84a7005ffffffff,5.0,0.0,0.0,0.0
84a700dffffffff,8.0,0.0,0.0,0.0
84a7021ffffffff,2.0,0.0,0.0,0.0
84a7025ffffffff,2.0,0.0,0.0,0.0
84a7029ffffffff,9.0,0.0,0.0,0.0
84a702bffffffff,2.0,0.0,0.0,0.0
84a703dffffffff,1.0,0.0,0.0,0.0
84a7041ffffffff,2.0,0.0,0.0,0.0
84a7047ffffffff,2.0,0.0,0.0,0.0
84a7063ffffffff,1.0,0.0,0.0,0.0
84a7065ffffffff,4.0,0.0,0.0,0.0
84a7067ffffffff,1.0,0.0,0.0,0.0
84a706dffffffff,1.0,0.0,0.0,0.0
84a710bffffffff,6.0,0.0,0.0,0.0
84a7121ffffffff,2.0,0.0,0.0,0.0
84a7129ffffffff,6.0,0.0,0.0,0.0
84a712bffffffff,6.0,0.0,0.0,0.0
84a712dffffffff,34.0,0.0,0.0,0.0
84a7141ffffffff,5.0,0.0,0.0,0.0
84a7143ffffffff,1.0,0.0,0.0,0.0
84a7145ffffffff,14.0,0.0,0.0,0.0
84a714bffffffff,6.0,0.0,0.0,0.0
84a714dffffffff,13.0,0.0,0.0,0.0
84a7163ffffffff,4.0,0.0,0.0,0.0
84a7165ffffffff,12.0,0.0,0.0,0.0
84a7169ffffffff,1.0,0.0,0.0,0.0
84a716bffffffff,4.0,0.0,0.0,0.0
84a7183ffffffff,8.0,0.0,0.0,0.0
84a718bffffffff,2.0,0.0,0.0,0.0
84a71b9ffffffff,4.0,0.0,0.0,0.0
84a71bbffffffff,7.0,0.0,0.0,0.0
84a71c3ffffffff,4.0,0.0,0.0,0.0
84a71cbffffffff,6.0,0.0,0.0,0.0
84a71d1ffffffff,12.0,0.0,0.0,0.0
84a71d5ffffffff,2.0,0.0,0.0,0.0
84a71ddffffffff,2.0,0.0,0.0,0.0
84a71e7ffffffff,2.0,0.0,0.0,0.0
84a71e9ffffffff,2.0,0.0,0.0,0.0
84a71edffffffff,7.0,0.0,0.0,0.0
84a7221ffffffff,6.0,0.0,0.0,0.0
84a7225ffffffff,5.0,0.0,0.0,0.0
84a7227ffffffff,2.0,0.0,0.0,0.0
84a722dffffffff,6.0,0.0,0.0,0.0
84a7265ffffffff,366.0,0.0,0.0,0.0
84a7267ffffffff,91.0,0.0,0.0,0.0
84a7269ffffffff,4.0,0.0,0.0,0.0
84a726dffffffff,1068.0,0.0,0.0,0.0
84a7303ffffffff,2.0,0.0,0.0,0.0
84a7305ffffffff,1.0,0.0,0.0,0.0
84a730bffffffff,2.0,0.0,0.0,0.0
84a7319ffffffff,2.0,0.0,0.0,0.0
84a731bffffffff,6.0,0.0,0.0,0.0
84a7327ffffffff,13.0,0.0,0.0,0.0
84a7329ffffffff,12.0,0.0,0.0,0.0
84a732bffffffff,2.0,0.0,0.0,0.0
84a7335ffffffff,27.0,0.0,0.0,0.0
84a7337ffffffff,20.0,0.0,0.0,0.0
84a7359ffffffff,30.0,0.0,0.0,0.0
84a735bffffffff,17.0,0.0,0.0,0.0
84a735dffffffff,2.0,0.0,0.0,0.0
84a7365ffffffff,6.0,0.0,0.0,0.0
84a7829ffffffff,2.0,0.0,0.0,0.0
84a7839ffffffff,4.0,0.0,0.0,0.0
84a7863ffffffff,3.0,0.0,0.0,0.0
84a7a49ffffffff,2.0,0.0,0.0,0.0
84a7a4bffffffff,2.0,0.0,0.0,0.0
84a7a61ffffffff,4.0,0.0,0.0,0.0
84a7a65ffffffff,1.0,0.0,0.0,0.0
84a7a69ffffffff,6.0,0.0,0.0,0.0
84a7ab5ffffffff,6.0,0.0,0.0,0.0
84a7aedffffffff,1.0,0.0,0.0,0.0
84b8001ffffffff,1.0,0.0,0.0,0.0
84b8125ffffffff,2.0,0.0,0.0,0.0
84b812dffffffff,4.0,0.0,0.0,0.0
84b8343ffffffff,2.0,0.0,0.0,0.0
84b836bffffffff,3.0,0.0,0.0,0.0
84b8411ffffffff,7.0,0.0,0.0,0.0
84b8415ffffffff,2.0,0.0,0.0,0.0
84b8419ffffffff,13.0,0.0,0.0,0.0
84b841dffffffff,2.0,0.0,0.0,0.0
84b8427ffffffff,6.0,0.0,0.0,0.0
84b8455ffffffff,2.0,0.0,0.0,0.0
84b8457ffffffff,2.0,0.0,0.0,0.0
84b8491ffffffff,6.0,0.0,0.0,0.0
84b8495ffffffff,2.0,0.0,0.0,0.0
84b849bffffffff,9.0,0.0,0.0,0.0
84b84a3ffffffff,2.0,0.0,0.0,0.0
84b84b1ffffffff,4.0,0.0,0.0,0.0
84b84b5ffffffff,4.0,0.0,0.0,0.0
84b84b9ffffffff,2.0,0.0,0.0,0.0
84b850dffffffff,2.0,0.0,0.0,0.0
84b8591ffffffff,19.0,0.0,0.0,0.0
84b8593ffffffff,2.0,0.0,0.0,0.0
84b865bffffffff,2.0,0.0,0.0,0.0
84b86a1ffffffff,6.0,0.0,0.0,0.0
84b86adffffffff,2.0,0.0,0.0,0.0
84b86b7ffffffff,2.0,0.0,0.0,0.0
84b86bbffffffff,2.0,0.0,0.0,0.0
