cell_id,Caprimulgus pectoralis,Caprimulgus pectoralis nigriscapularis,Caprimulgus pectoralis [pectoralis Group]
82588ffffffffff,2.0,2.0,0.0
825897fffffffff,31.0,29.0,0.0
8258c7fffffffff,2.0,2.0,0.0
8258cffffffffff,2.0,2.0,0.0
8258d7fffffffff,29.0,29.0,0.0
826a17fffffffff,2.0,2.0,0.0
826a5ffffffffff,3.0,3.0,0.0
826ac7fffffffff,70.0,66.0,0.0
826acffffffffff,185.0,178.0,0.0
826adffffffffff,3.0,3.0,0.0
826ae7fffffffff,2.0,2.0,0.0
826aeffffffffff,17.0,17.0,0.0
82750ffffffffff,34.0,32.0,0.0
82752ffffffffff,44.0,43.0,0.0
827a6ffffffffff,2.0,0.0,0.0
827b4ffffffffff,5.0,0.0,0.0
827b5ffffffffff,51.0,0.0,0.0
827b6ffffffffff,1.0,0.0,0.0
8282a7fffffffff,2.0,2.0,0.0
8282d7fffffffff,5.0,5.0,0.0
828317fffffffff,2.0,2.0,0.0
828327fffffffff,9.0,0.0,0.0
828337fffffffff,5.0,0.0,0.0
8283a7fffffffff,3.0,0.0,0.0
8283affffffffff,3.0,0.0,0.0
829607fffffffff,25.0,0.0,0.0
82960ffffffffff,11.0,0.0,0.0
829617fffffffff,12.0,0.0,0.0
829627fffffffff,81.0,0.0,0.0
82962ffffffffff,64.0,0.0,0.0
829637fffffffff,20.0,0.0,0.0
829647fffffffff,2.0,0.0,0.0
829677fffffffff,9.0,0.0,0.0
82968ffffffffff,1.0,0.0,0.0
8296a7fffffffff,11.0,0.0,0.0
8296affffffffff,5.0,0.0,0.0
8296b7fffffffff,39.0,0.0,0.0
829707fffffffff,4.0,0.0,0.0
82970ffffffffff,16.0,0.0,0.0
829717fffffffff,27.0,0.0,0.0
82971ffffffffff,21.0,0.0,0.0
829727fffffffff,11.0,0.0,0.0
82972ffffffffff,151.0,0.0,0.0
829737fffffffff,15.0,0.0,0.0
829747fffffffff,53.0,0.0,0.0
82974ffffffffff,155.0,0.0,0.0
829757fffffffff,62.0,0.0,0.0
82975ffffffffff,62.0,0.0,0.0
82976ffffffffff,6.0,0.0,0.0
829777fffffffff,6.0,0.0,0.0
82978ffffffffff,12.0,0.0,0.0
829797fffffffff,1.0,0.0,0.0
82979ffffffffff,3.0,0.0,0.0
8297affffffffff,11.0,0.0,0.0
82ac87fffffffff,38.0,0.0,0.0
82ac97fffffffff,40.0,0.0,0.0
82aca7fffffffff,17.0,0.0,0.0
82acb7fffffffff,7.0,0.0,0.0
82ad37fffffffff,25.0,0.0,0.0
82ad8ffffffffff,1.0,0.0,0.0
82bc0ffffffffff,4.0,0.0,0.0
82bc1ffffffffff,17.0,0.0,0.0
82bc47fffffffff,40.0,0.0,0.0
82bc4ffffffffff,2.0,0.0,0.0
82bc57fffffffff,4.0,0.0,0.0
82bc6ffffffffff,71.0,0.0,0.0
82bc77fffffffff,44.0,0.0,0.0
82bc8ffffffffff,59.0,0.0,0.0
82bc9ffffffffff,6.0,0.0,0.0
82bcc7fffffffff,24.0,0.0,0.0
82bccffffffffff,7.0,0.0,0.0
82bcd7fffffffff,495.0,0.0,1.0
82bcdffffffffff,156.0,0.0,4.0
82bce7fffffffff,12.0,0.0,0.0
82bcf7fffffffff,533.0,0.0,10.0
