cell_id,Ramphocaenus melanurus,Ramphocaenus melanurus [rufiventris Group],Ramphocaenus melanurus [melanurus Group]
834424fffffffff,15.0,0.0,0.0
834501fffffffff,20.0,0.0,0.0
834505fffffffff,108.0,5.0,0.0
834508fffffffff,225.0,0.0,0.0
83450afffffffff,496.0,8.0,0.0
83450bfffffffff,122.0,0.0,0.0
83450cfffffffff,200.0,16.0,0.0
83450dfffffffff,34.0,0.0,0.0
83450efffffffff,390.0,36.0,0.0
834520fffffffff,323.0,1.0,0.0
834521fffffffff,988.0,16.0,0.0
834522fffffffff,748.0,0.0,0.0
834523fffffffff,990.0,25.0,0.0
834524fffffffff,39.0,0.0,0.0
834525fffffffff,64.0,0.0,0.0
834526fffffffff,225.0,6.0,0.0
834528fffffffff,1047.0,24.0,0.0
834529fffffffff,11.0,2.0,0.0
83452afffffffff,1437.0,92.0,0.0
83452bfffffffff,127.0,9.0,0.0
83452cfffffffff,1217.0,89.0,0.0
83452dfffffffff,327.0,48.0,0.0
83452efffffffff,6095.0,248.0,0.0
834530fffffffff,47.0,0.0,0.0
834531fffffffff,69.0,0.0,0.0
834532fffffffff,34.0,0.0,0.0
834534fffffffff,47.0,0.0,0.0
834535fffffffff,5.0,0.0,0.0
834536fffffffff,68.0,0.0,0.0
834564fffffffff,1.0,0.0,0.0
834572fffffffff,3.0,0.0,0.0
834576fffffffff,10.0,0.0,0.0
835f00fffffffff,4.0,0.0,0.0
835f01fffffffff,11.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0
835f03fffffffff,86.0,0.0,3.0
835f0dfffffffff,12.0,0.0,0.0
835f10fffffffff,15.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0
835f12fffffffff,6.0,0.0,0.0
835f13fffffffff,11.0,0.0,0.0
835f14fffffffff,10.0,0.0,0.0
835f15fffffffff,1.0,0.0,0.0
835f16fffffffff,10.0,0.0,0.0
835f1cfffffffff,1.0,0.0,0.0
835f29fffffffff,8.0,0.0,0.0
835f2bfffffffff,266.0,0.0,0.0
835f2dfffffffff,2.0,0.0,0.0
835f40fffffffff,17.0,0.0,1.0
835f41fffffffff,2.0,0.0,0.0
835f42fffffffff,5.0,0.0,0.0
835f48fffffffff,10.0,0.0,1.0
835f49fffffffff,17.0,0.0,0.0
835f4afffffffff,26.0,0.0,0.0
835f4bfffffffff,6.0,0.0,0.0
835f54fffffffff,48.0,0.0,0.0
835f58fffffffff,653.0,0.0,0.0
835f59fffffffff,32.0,0.0,0.0
835f5bfffffffff,38.0,0.0,0.0
835f5dfffffffff,5.0,0.0,0.0
835f68fffffffff,55.0,0.0,0.0
835f71fffffffff,30.0,0.0,0.0
835f75fffffffff,75.0,0.0,0.0
835f76fffffffff,8.0,0.0,0.0
836601fffffffff,5.0,0.0,0.0
836602fffffffff,2.0,0.0,0.0
836603fffffffff,1.0,0.0,0.0
836604fffffffff,49.0,0.0,0.0
836606fffffffff,15.0,0.0,0.0
836608fffffffff,47.0,0.0,0.0
836609fffffffff,10.0,0.0,0.0
83660afffffffff,4.0,0.0,0.0
83660cfffffffff,8.0,0.0,0.0
83660dfffffffff,46.0,0.0,0.0
83660efffffffff,2.0,0.0,0.0
836610fffffffff,123.0,6.0,0.0
836611fffffffff,25.0,0.0,0.0
836612fffffffff,38.0,0.0,0.0
836613fffffffff,61.0,6.0,0.0
836616fffffffff,527.0,65.0,0.0
836618fffffffff,23.0,0.0,0.0
836619fffffffff,185.0,0.0,0.0
83661bfffffffff,101.0,0.0,0.0
83661cfffffffff,123.0,0.0,0.0
83661dfffffffff,132.0,0.0,0.0
836620fffffffff,255.0,9.0,0.0
836621fffffffff,40.0,0.0,0.0
836622fffffffff,426.0,6.0,0.0
836623fffffffff,5.0,0.0,0.0
836625fffffffff,1.0,0.0,0.0
836629fffffffff,21.0,0.0,0.0
83662bfffffffff,19.0,0.0,0.0
83662dfffffffff,6.0,0.0,0.0
83662efffffffff,9.0,0.0,0.0
836631fffffffff,7.0,0.0,0.0
836641fffffffff,44.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
