cell_id,Pternistis afer,Pternistis afer cranchii/harterti,Pternistis afer [leucoparaeus Group],Pternistis afer afer,Pternistis afer castaneiventer
837a68fffffffff,7.0,7.0,0.0,0.0,0.0
837a6bfffffffff,2.0,0.0,0.0,0.0,0.0
837b4afffffffff,1.0,0.0,0.0,0.0,0.0
839628fffffffff,4.0,0.0,0.0,0.0,0.0
83962dfffffffff,2.0,0.0,0.0,0.0,0.0
839690fffffffff,3.0,0.0,0.0,0.0,0.0
839711fffffffff,6.0,0.0,0.0,0.0,0.0
83ac8afffffffff,2.0,0.0,0.0,0.0,0.0
83bc45fffffffff,2.0,0.0,0.0,0.0,0.0
83bc54fffffffff,4.0,0.0,0.0,0.0,0.0
83bc71fffffffff,4.0,0.0,0.0,0.0,0.0
83bc73fffffffff,7.0,0.0,0.0,0.0,3.0
83bcc4fffffffff,2.0,0.0,0.0,0.0,0.0
83bcf3fffffffff,2.0,0.0,0.0,0.0,0.0
