cell_id,Ardea cinerea,Ardea cinerea cinerea/jouyi,Ardea cinerea firasa,Ardea cinerea monicae
8407433ffffffff,6.0,0.0,0.0,0.0
8407457ffffffff,2.0,0.0,0.0,0.0
8407465ffffffff,3.0,0.0,0.0,0.0
8407589ffffffff,7.0,0.0,0.0,0.0
8407635ffffffff,4.0,0.0,0.0,0.0
8407733ffffffff,37.0,0.0,0.0,0.0
840773bffffffff,7.0,0.0,0.0,0.0
8408829ffffffff,2.0,2.0,0.0,0.0
8408839ffffffff,2.0,0.0,0.0,0.0
8408843ffffffff,2.0,2.0,0.0,0.0
8408867ffffffff,4.0,4.0,0.0,0.0
84089a9ffffffff,2.0,0.0,0.0,0.0
84089e1ffffffff,1.0,0.0,0.0,0.0
84089e3ffffffff,6.0,0.0,0.0,0.0
84089e7ffffffff,2.0,0.0,0.0,0.0
8409a41ffffffff,2.0,2.0,0.0,0.0
8411811ffffffff,1.0,1.0,0.0,0.0
8411813ffffffff,8.0,8.0,0.0,0.0
841181dffffffff,7.0,7.0,0.0,0.0
84118e9ffffffff,9.0,9.0,0.0,0.0
8411aa7ffffffff,1.0,1.0,0.0,0.0
8411ab9ffffffff,5.0,5.0,0.0,0.0
8411ae3ffffffff,43.0,43.0,0.0,0.0
8411ae7ffffffff,16.0,16.0,0.0,0.0
84165e1ffffffff,2.0,0.0,0.0,0.0
84182c1ffffffff,1.0,0.0,0.0,0.0
84182e5ffffffff,2.0,0.0,0.0,0.0
8418491ffffffff,2.0,0.0,0.0,0.0
8418495ffffffff,24.0,0.0,0.0,0.0
841849dffffffff,1.0,0.0,0.0,0.0
84184b1ffffffff,2.0,0.0,0.0,0.0
84184b7ffffffff,4.0,0.0,0.0,0.0
84184b9ffffffff,6.0,2.0,0.0,0.0
84184bbffffffff,2.0,0.0,0.0,0.0
84184bdffffffff,1.0,0.0,0.0,0.0
8418597ffffffff,20.0,2.0,0.0,0.0
84185b5ffffffff,46.0,5.0,0.0,0.0
84185bbffffffff,43.0,7.0,0.0,0.0
8418629ffffffff,2.0,0.0,0.0,0.0
8418667ffffffff,1.0,0.0,0.0,0.0
84186c5ffffffff,3.0,0.0,0.0,0.0
84186cbffffffff,4.0,0.0,0.0,0.0
84186edffffffff,2.0,0.0,0.0,0.0
8419013ffffffff,2.0,0.0,0.0,0.0
8419099ffffffff,1.0,1.0,0.0,0.0
8419421ffffffff,2.0,2.0,0.0,0.0
8419427ffffffff,2.0,2.0,0.0,0.0
841942bffffffff,1.0,0.0,0.0,0.0
84194ddffffffff,1.0,0.0,0.0,0.0
8419501ffffffff,4.0,4.0,0.0,0.0
8419507ffffffff,6.0,6.0,0.0,0.0
84195d3ffffffff,1.0,1.0,0.0,0.0
841969dffffffff,4.0,4.0,0.0,0.0
841aa3dffffffff,14.0,0.0,0.0,0.0
841aa47ffffffff,1.0,0.0,0.0,0.0
841aa63ffffffff,4.0,0.0,0.0,0.0
841ab51ffffffff,1.0,0.0,0.0,0.0
841b999ffffffff,2.0,0.0,0.0,0.0
841e025ffffffff,5.0,4.0,0.0,0.0
841e02dffffffff,7.0,7.0,0.0,0.0
841e045ffffffff,17.0,2.0,0.0,0.0
841e047ffffffff,1.0,0.0,0.0,0.0
841e04bffffffff,2.0,0.0,0.0,0.0
841e05bffffffff,4.0,0.0,0.0,0.0
841e061ffffffff,2.0,2.0,0.0,0.0
841e063ffffffff,1.0,1.0,0.0,0.0
841e067ffffffff,2.0,2.0,0.0,0.0
841e085ffffffff,1.0,0.0,0.0,0.0
841e0a1ffffffff,2.0,2.0,0.0,0.0
841e0a9ffffffff,2.0,0.0,0.0,0.0
841e0b7ffffffff,1.0,1.0,0.0,0.0
841e0e7ffffffff,3.0,0.0,0.0,0.0
841e139ffffffff,4.0,0.0,0.0,0.0
841e13bffffffff,3.0,0.0,0.0,0.0
841e153ffffffff,1.0,0.0,0.0,0.0
841e19dffffffff,2.0,0.0,0.0,0.0
841e1b9ffffffff,1.0,0.0,0.0,0.0
841e225ffffffff,2.0,0.0,0.0,0.0
841e269ffffffff,2.0,0.0,0.0,0.0
841e307ffffffff,3.0,0.0,0.0,0.0
841e339ffffffff,3.0,0.0,0.0,0.0
841e357ffffffff,2.0,0.0,0.0,0.0
841e427ffffffff,2.0,0.0,0.0,0.0
841e465ffffffff,8.0,0.0,0.0,0.0
841e519ffffffff,4.0,0.0,0.0,0.0
841e529ffffffff,1.0,1.0,0.0,0.0
841e52bffffffff,1.0,1.0,0.0,0.0
841e551ffffffff,2.0,0.0,0.0,0.0
841e5c9ffffffff,3.0,0.0,0.0,0.0
841e5cdffffffff,5.0,0.0,0.0,0.0
841e5e5ffffffff,4.0,0.0,0.0,0.0
841e5edffffffff,4.0,0.0,0.0,0.0
841e6a9ffffffff,11.0,0.0,0.0,0.0
841e6adffffffff,2.0,0.0,0.0,0.0
