cell_id,Diomedea antipodensis,Diomedea antipodensis antipodensis,Diomedea antipodensis gibsoni
8428e67ffffffff,1.0,0.0,0.0
84b2c45ffffffff,10.0,8.0,0.0
84b2c4dffffffff,7.0,7.0,0.0
84b2da1ffffffff,2.0,2.0,0.0
84b2de3ffffffff,4.0,4.0,0.0
84b2debffffffff,7.0,7.0,0.0
84ba219ffffffff,9.0,0.0,9.0
84ba245ffffffff,1.0,0.0,1.0
84ba253ffffffff,8.0,0.0,8.0
84ba25bffffffff,8.0,8.0,0.0
84ba281ffffffff,1.0,1.0,0.0
84ba60dffffffff,1.0,0.0,1.0
84ba66bffffffff,2.0,0.0,2.0
84bb0a5ffffffff,1.0,1.0,0.0
84bb0adffffffff,5.0,0.0,5.0
84bb0e3ffffffff,3.0,0.0,3.0
84bb283ffffffff,1.0,1.0,0.0
84bb291ffffffff,4.0,0.0,4.0
84bb295ffffffff,3.0,0.0,3.0
84bb2dbffffffff,24.0,8.0,16.0
84bb535ffffffff,8.0,0.0,8.0
84bb537ffffffff,22.0,15.0,7.0
84bb583ffffffff,5.0,4.0,1.0
84bb5bbffffffff,2.0,2.0,0.0
84bb659ffffffff,2.0,2.0,0.0
84be0c1ffffffff,5.0,4.0,0.0
84be0c7ffffffff,2.0,0.0,2.0
84be0e3ffffffff,4.0,1.0,3.0
84be1a9ffffffff,3.0,0.0,3.0
84be1d9ffffffff,4.0,0.0,4.0
84be29bffffffff,7.0,2.0,5.0
84be689ffffffff,4.0,0.0,4.0
84be68bffffffff,4.0,3.0,1.0
84be68dffffffff,1.0,0.0,1.0
84be691ffffffff,3.0,0.0,3.0
84be695ffffffff,2.0,0.0,2.0
84beaa5ffffffff,2.0,0.0,2.0
84beaa7ffffffff,1.0,1.0,0.0
84beab5ffffffff,6.0,0.0,6.0
84beab7ffffffff,13.0,7.0,6.0
84beae3ffffffff,3.0,0.0,3.0
84bf4c9ffffffff,12.0,2.0,10.0
84bf5b1ffffffff,4.0,0.0,4.0
84c9845ffffffff,3.0,1.0,2.0
84c9b0bffffffff,2.0,0.0,2.0
84ce101ffffffff,4.0,4.0,0.0
84ce107ffffffff,5.0,5.0,0.0
84ce10bffffffff,16.0,16.0,0.0
84ce115ffffffff,7.0,7.0,0.0
84ce12bffffffff,6.0,6.0,0.0
84ce155ffffffff,18.0,18.0,0.0
84ce15dffffffff,19.0,19.0,0.0
84ce301ffffffff,6.0,6.0,0.0
84ce303ffffffff,25.0,25.0,0.0
84ce307ffffffff,13.0,13.0,0.0
84ce309ffffffff,8.0,8.0,0.0
84ce30bffffffff,11.0,11.0,0.0
84ce331ffffffff,18.0,18.0,0.0
84ce337ffffffff,3.0,3.0,0.0
84ce339ffffffff,19.0,19.0,0.0
84ce343ffffffff,12.0,12.0,0.0
84ce34bffffffff,1.0,1.0,0.0
84ce355ffffffff,2.0,2.0,0.0
84ce35dffffffff,2.0,2.0,0.0
84ce89dffffffff,9.0,9.0,0.0
84ce8b3ffffffff,8.0,8.0,0.0
84cead9ffffffff,2.0,1.0,0.0
84ced6dffffffff,7.0,7.0,0.0
84cf1abffffffff,6.0,5.0,0.0
84cf1b5ffffffff,3.0,3.0,0.0
84d4691ffffffff,2.0,0.0,2.0
84d4697ffffffff,2.0,0.0,2.0
84da00bffffffff,7.0,0.0,7.0
84da189ffffffff,4.0,0.0,4.0
84da18bffffffff,2.0,0.0,2.0
84da1a7ffffffff,7.0,7.0,0.0
84da1d5ffffffff,21.0,0.0,21.0
84da569ffffffff,1.0,0.0,1.0
84da841ffffffff,28.0,7.0,19.0
84da843ffffffff,3.0,0.0,2.0
84da845ffffffff,7.0,0.0,7.0
84da849ffffffff,8.0,2.0,6.0
84da8c7ffffffff,3.0,0.0,3.0
84da917ffffffff,1.0,0.0,0.0
84da93bffffffff,1.0,0.0,0.0
84daa27ffffffff,1.0,0.0,1.0
84daa29ffffffff,1.0,1.0,0.0
84daa4bffffffff,2.0,0.0,2.0
84daa5dffffffff,1.0,0.0,1.0
84daa91ffffffff,8.0,0.0,8.0
84daaabffffffff,3.0,0.0,3.0
84dab19ffffffff,8.0,3.0,5.0
84dab57ffffffff,6.0,0.0,6.0
84db81bffffffff,2.0,0.0,2.0
84db8a9ffffffff,4.0,2.0,2.0
84db8d5ffffffff,2.0,2.0,0.0
84df287ffffffff,3.0,3.0,0.0
84df703ffffffff,1.0,1.0,0.0
84df713ffffffff,1.0,1.0,0.0
