cell_id,Molothrus aeneus,Molothrus aeneus [aeneus Group],Molothrus aeneus armenti
8326d3fffffffff,10.0,0.0,0.0
8326d8fffffffff,3.0,0.0,0.0
8326d9fffffffff,2.0,0.0,0.0
8326dafffffffff,7.0,0.0,0.0
8326dbfffffffff,4.0,0.0,0.0
8326defffffffff,182.0,0.0,0.0
8329a6fffffffff,137.0,0.0,0.0
8329b0fffffffff,9.0,0.0,0.0
8329b2fffffffff,90.0,0.0,0.0
8329b5fffffffff,18.0,0.0,0.0
8329b6fffffffff,425.0,0.0,0.0
834412fffffffff,26.0,0.0,0.0
834413fffffffff,160.0,0.0,0.0
834424fffffffff,156.0,2.0,0.0
834444fffffffff,25.0,0.0,0.0
834445fffffffff,45.0,0.0,0.0
834446fffffffff,513.0,0.0,0.0
834450fffffffff,61.0,0.0,0.0
834455fffffffff,224.0,0.0,0.0
834463fffffffff,93.0,0.0,0.0
83446cfffffffff,1652.0,0.0,0.0
83446dfffffffff,53.0,0.0,0.0
83446efffffffff,213.0,0.0,0.0
834471fffffffff,62.0,0.0,0.0
834473fffffffff,1173.0,0.0,0.0
8344a1fffffffff,765.0,0.0,0.0
8344a5fffffffff,75.0,0.0,0.0
8344acfffffffff,82.0,0.0,0.0
8344aefffffffff,48.0,0.0,0.0
834501fffffffff,90.0,7.0,0.0
834505fffffffff,357.0,5.0,0.0
834508fffffffff,587.0,49.0,0.0
834509fffffffff,1906.0,472.0,0.0
83450afffffffff,1104.0,50.0,0.0
83450bfffffffff,770.0,78.0,0.0
83450cfffffffff,139.0,26.0,0.0
83450dfffffffff,351.0,97.0,0.0
83450efffffffff,639.0,55.0,0.0
834519fffffffff,16.0,5.0,0.0
83451dfffffffff,2.0,0.0,0.0
834520fffffffff,474.0,2.0,0.0
834521fffffffff,430.0,6.0,0.0
834522fffffffff,446.0,0.0,0.0
834523fffffffff,382.0,4.0,0.0
834524fffffffff,823.0,0.0,0.0
834525fffffffff,334.0,56.0,0.0
834526fffffffff,948.0,0.0,0.0
834528fffffffff,153.0,7.0,0.0
834529fffffffff,80.0,5.0,0.0
83452afffffffff,1275.0,58.0,0.0
83452bfffffffff,135.0,6.0,0.0
83452cfffffffff,559.0,35.0,0.0
