cell_id,Illadopsis fulvescens,Illadopsis fulvescens moloneyana/iboensis,Illadopsis fulvescens [fulvescens Group]
8354e1fffffffff,1.0,0.0,0.0
8354e2fffffffff,3.0,0.0,0.0
8354f1fffffffff,5.0,0.0,0.0
83750dfffffffff,1.0,1.0,0.0
837a4dfffffffff,2.0,0.0,2.0
