cell_id,Coeligena torquata,Coeligena torquata [torquata Group],Coeligena torquata eisenmanni
84660bdffffffff,4.0,0.0,0.0
84660c3ffffffff,2.0,0.0,0.0
84660ddffffffff,3.0,0.0,0.0
8466185ffffffff,1.0,1.0,0.0
8466187ffffffff,1.0,1.0,0.0
84661b1ffffffff,8.0,3.0,0.0
84662b7ffffffff,1.0,1.0,0.0
8466d31ffffffff,1.0,0.0,0.0
8466dedffffffff,7.0,0.0,0.0
8466e47ffffffff,8.0,8.0,0.0
8466e55ffffffff,4.0,0.0,0.0
8466e6dffffffff,5.0,2.0,0.0
8466f03ffffffff,5.0,0.0,0.0
8466f3bffffffff,3.0,3.0,0.0
848f0dbffffffff,4.0,0.0,0.0
848f425ffffffff,2.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f4a5ffffffff,13.0,13.0,0.0
848f5ddffffffff,4.0,0.0,0.0
848f721ffffffff,10.0,8.0,0.0
848f727ffffffff,2.0,0.0,0.0
848f733ffffffff,19.0,0.0,0.0
