cell_id,Pipreola intermedia,Pipreola intermedia intermedia,Pipreola intermedia signata
848b203ffffffff,6.0,0.0,0.0
848b211ffffffff,3.0,0.0,0.0
848b21dffffffff,4.0,0.0,0.0
848b2c1ffffffff,10.0,0.0,0.0
848b2c5ffffffff,13.0,0.0,0.0
848b2cdffffffff,64.0,0.0,0.0
848b2dbffffffff,5.0,0.0,0.0
848b611ffffffff,13.0,0.0,0.0
848b617ffffffff,327.0,0.0,4.0
848b619ffffffff,1.0,0.0,0.0
848b639ffffffff,2.0,0.0,0.0
848b6c1ffffffff,4.0,0.0,0.0
848b6c5ffffffff,29.0,0.0,0.0
848b6c9ffffffff,3.0,0.0,0.0
848b6cdffffffff,23.0,0.0,0.0
848b759ffffffff,17.0,0.0,0.0
848e641ffffffff,1.0,0.0,0.0
848e649ffffffff,28.0,0.0,0.0
848e64bffffffff,29.0,0.0,0.0
848e651ffffffff,21.0,0.0,0.0
848e657ffffffff,2.0,0.0,0.0
848f4a5ffffffff,43.0,4.0,0.0
848f4a7ffffffff,1.0,0.0,0.0
84b3251ffffffff,1.0,0.0,0.0
84b3253ffffffff,55.0,0.0,0.0
84b3257ffffffff,1.0,0.0,0.0
84b325dffffffff,2.0,0.0,0.0
