cell_id,Amazilia yucatanensis,Amazilia yucatanensis yucatanensis,Amazilia yucatanensis cerviniventris/chalconota
824427fffffffff,4.0,2.0,0.0
824447fffffffff,741.0,0.0,0.0
824457fffffffff,1.0,0.0,0.0
824467fffffffff,16.0,0.0,0.0
82446ffffffffff,184.0,0.0,2.0
824477fffffffff,44.0,0.0,0.0
824507fffffffff,389.0,14.0,0.0
82450ffffffffff,2767.0,856.0,0.0
82451ffffffffff,10.0,0.0,0.0
824527fffffffff,18.0,0.0,0.0
82452ffffffffff,1320.0,149.0,0.0
824577fffffffff,124.0,34.0,0.0
824887fffffffff,16.0,0.0,0.0
824897fffffffff,2748.0,0.0,15.0
82489ffffffffff,11.0,0.0,0.0
8248a7fffffffff,421.0,0.0,0.0
8248b7fffffffff,24628.0,0.0,749.0
824997fffffffff,5142.0,0.0,300.0
82499ffffffffff,359.0,0.0,0.0
826d27fffffffff,1275.0,26.0,0.0
826d37fffffffff,3975.0,0.0,54.0
