cell_id,Northiella haematogaster,Northiella haematogaster haematogaster/pallescens,Northiella haematogaster haematorrhoa
839d60fffffffff,1.0,0.0,0.0
839d65fffffffff,8.0,0.0,0.0
839d6dfffffffff,5.0,0.0,0.0
83b836fffffffff,1.0,1.0,0.0
83b912fffffffff,42.0,8.0,0.0
83b916fffffffff,20.0,0.0,0.0
83b980fffffffff,22.0,3.0,0.0
83b982fffffffff,6.0,0.0,0.0
83b986fffffffff,29.0,15.0,0.0
83b994fffffffff,2.0,0.0,0.0
83b995fffffffff,8.0,1.0,0.0
83b99cfffffffff,34.0,2.0,0.0
83b9a1fffffffff,17.0,6.0,0.0
83b9a4fffffffff,8.0,0.0,0.0
83b9a5fffffffff,6.0,0.0,0.0
83b9a6fffffffff,14.0,2.0,0.0
83b9a8fffffffff,4.0,0.0,0.0
83b9aafffffffff,4.0,0.0,0.0
83b9abfffffffff,15.0,13.0,0.0
83b9acfffffffff,7.0,0.0,0.0
83b9adfffffffff,14.0,2.0,0.0
83b9aefffffffff,1.0,1.0,0.0
83b9b0fffffffff,7.0,0.0,0.0
83b9b2fffffffff,72.0,9.0,0.0
83b9b3fffffffff,80.0,19.0,0.0
83b9b4fffffffff,29.0,4.0,0.0
83b9b5fffffffff,28.0,0.0,0.0
83b9b6fffffffff,2.0,0.0,0.0
83be40fffffffff,89.0,11.0,0.0
83be41fffffffff,76.0,8.0,0.0
83be42fffffffff,221.0,53.0,0.0
83be43fffffffff,582.0,128.0,0.0
83be45fffffffff,2.0,0.0,0.0
83be46fffffffff,12.0,3.0,0.0
83be48fffffffff,19.0,0.0,0.0
83be49fffffffff,11.0,0.0,0.0
83be4afffffffff,381.0,75.0,0.0
83be4bfffffffff,142.0,16.0,0.0
83be4cfffffffff,43.0,3.0,0.0
83be4efffffffff,1050.0,301.0,0.0
83be50fffffffff,347.0,8.0,10.0
83be51fffffffff,49.0,7.0,0.0
83be52fffffffff,37.0,1.0,0.0
83be53fffffffff,276.0,23.0,25.0
83be54fffffffff,36.0,1.0,0.0
83be55fffffffff,149.0,2.0,0.0
83be56fffffffff,152.0,17.0,0.0
83be58fffffffff,10.0,6.0,0.0
83be59fffffffff,28.0,1.0,0.0
83be5afffffffff,11.0,0.0,2.0
83be5bfffffffff,38.0,2.0,5.0
83be5cfffffffff,1.0,0.0,0.0
83be5dfffffffff,229.0,51.0,0.0
83be5efffffffff,8.0,4.0,0.0
83bec0fffffffff,1.0,0.0,0.0
83bec1fffffffff,26.0,5.0,0.0
83bec2fffffffff,1.0,0.0,1.0
83bec4fffffffff,62.0,0.0,4.0
83bec5fffffffff,11.0,0.0,7.0
83bec6fffffffff,12.0,0.0,0.0
83bec8fffffffff,30.0,0.0,0.0
83bec9fffffffff,2.0,0.0,0.0
83becafffffffff,2.0,0.0,0.0
83becbfffffffff,9.0,0.0,0.0
83beccfffffffff,45.0,9.0,0.0
83becdfffffffff,11.0,0.0,0.0
83becefffffffff,320.0,19.0,0.0
83bed4fffffffff,7.0,0.0,0.0
83bed5fffffffff,4.0,0.0,0.0
83bedcfffffffff,2.0,0.0,0.0
83beddfffffffff,2.0,0.0,0.0
83bee0fffffffff,26.0,0.0,0.0
83bee1fffffffff,106.0,0.0,19.0
83bee2fffffffff,30.0,0.0,2.0
83bee3fffffffff,52.0,0.0,0.0
83bee5fffffffff,32.0,0.0,1.0
83bee6fffffffff,7.0,0.0,0.0
83bee8fffffffff,46.0,4.0,3.0
83bee9fffffffff,3.0,2.0,0.0
83beeafffffffff,57.0,14.0,4.0
83beebfffffffff,7.0,2.0,0.0
83beecfffffffff,31.0,2.0,3.0
83beedfffffffff,9.0,2.0,0.0
83beeefffffffff,20.0,0.0,0.0
83bef0fffffffff,290.0,0.0,38.0
83bef1fffffffff,31.0,0.0,1.0
83bef2fffffffff,53.0,0.0,3.0
83bef3fffffffff,10.0,0.0,0.0
83bef5fffffffff,4.0,0.0,0.0
83bef6fffffffff,1.0,0.0,0.0
