cell_id,Batis margaritae,Batis margaritae margaritae,Batis margaritae kathleenae
8483337ffffffff,3.0,1.0,0.0
848333dffffffff,10.0,8.0,0.0
8496015ffffffff,1.0,0.0,0.0
8496019ffffffff,7.0,0.0,3.0
8496093ffffffff,6.0,0.0,0.0
8496097ffffffff,1.0,0.0,0.0
84960a3ffffffff,4.0,0.0,1.0
84960bbffffffff,2.0,0.0,0.0
84960d3ffffffff,3.0,0.0,1.0
8496545ffffffff,1.0,0.0,0.0
849654dffffffff,3.0,0.0,0.0
8496569ffffffff,1.0,0.0,0.0
8496707ffffffff,12.0,0.0,0.0
8496721ffffffff,2.0,0.0,0.0
8496727ffffffff,12.0,0.0,0.0
849672dffffffff,2.0,0.0,0.0
849676dffffffff,1.0,0.0,1.0
8496e49ffffffff,1.0,0.0,0.0
