cell_id,Myadestes ralloides,Myadestes ralloides plumbeiceps,Myadestes ralloides venezuelensis/candelae,Myadestes ralloides ralloides
836608fffffffff,212.0,0.0,2.0,0.0
836609fffffffff,2.0,0.0,0.0,0.0
83660afffffffff,1.0,0.0,0.0,0.0
83660bfffffffff,407.0,0.0,0.0,0.0
83660cfffffffff,131.0,0.0,0.0,0.0
83660dfffffffff,24.0,0.0,0.0,0.0
836618fffffffff,545.0,4.0,0.0,0.0
836619fffffffff,1926.0,0.0,0.0,0.0
83661bfffffffff,5108.0,8.0,0.0,0.0
83661dfffffffff,358.0,0.0,0.0,0.0
836621fffffffff,89.0,0.0,0.0,0.0
836629fffffffff,126.0,0.0,9.0,0.0
83662bfffffffff,23.0,0.0,0.0,0.0
83662efffffffff,10.0,0.0,0.0,0.0
836656fffffffff,1.0,0.0,0.0,0.0
8366c0fffffffff,203.0,0.0,0.0,0.0
8366c2fffffffff,367.0,0.0,0.0,0.0
8366c4fffffffff,164.0,0.0,0.0,0.0
8366c5fffffffff,2.0,0.0,0.0,0.0
8366c6fffffffff,1269.0,0.0,0.0,0.0
8366d0fffffffff,1686.0,0.0,0.0,0.0
8366d1fffffffff,38.0,0.0,0.0,0.0
8366d3fffffffff,4222.0,243.0,0.0,0.0
8366d5fffffffff,80.0,0.0,0.0,0.0
8366dafffffffff,14.0,0.0,0.0,0.0
8366defffffffff,1352.0,0.0,39.0,0.0
8366e0fffffffff,871.0,0.0,3.0,0.0
8366e2fffffffff,100.0,0.0,0.0,0.0
8366e3fffffffff,13.0,0.0,0.0,0.0
8366e4fffffffff,95.0,0.0,0.0,0.0
8366e5fffffffff,263.0,0.0,0.0,0.0
8366e6fffffffff,3801.0,38.0,0.0,0.0
8366f0fffffffff,171.0,0.0,0.0,0.0
8366f1fffffffff,5582.0,38.0,0.0,0.0
8366f3fffffffff,20.0,0.0,0.0,0.0
8366f5fffffffff,1931.0,0.0,0.0,0.0
836741fffffffff,28.0,0.0,0.0,0.0
836743fffffffff,24.0,0.0,0.0,0.0
83674efffffffff,150.0,0.0,0.0,0.0
836751fffffffff,21.0,0.0,0.0,0.0
83675afffffffff,150.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0
83675efffffffff,77.0,0.0,0.0,0.0
838b20fffffffff,24.0,0.0,0.0,0.0
838b21fffffffff,16.0,0.0,0.0,0.0
838b2cfffffffff,38.0,0.0,0.0,0.0
838b2dfffffffff,14.0,0.0,0.0,0.0
838b60fffffffff,2.0,0.0,0.0,0.0
838b61fffffffff,1343.0,0.0,0.0,17.0
838b66fffffffff,5.0,0.0,0.0,0.0
838b6cfffffffff,526.0,0.0,0.0,0.0
838b74fffffffff,1.0,0.0,0.0,0.0
838b75fffffffff,48.0,0.0,0.0,0.0
838e61fffffffff,4.0,0.0,0.0,0.0
838e64fffffffff,280.0,0.0,0.0,0.0
838e65fffffffff,99.0,0.0,0.0,0.0
838e6cfffffffff,37.0,0.0,0.0,0.0
838e6dfffffffff,2.0,0.0,0.0,0.0
838f0dfffffffff,372.0,0.0,0.0,0.0
838f29fffffffff,60.0,0.0,0.0,0.0
838f2bfffffffff,58.0,0.0,0.0,0.0
838f2dfffffffff,19.0,0.0,0.0,0.0
838f42fffffffff,53.0,0.0,0.0,0.0
838f46fffffffff,583.0,0.0,0.0,0.0
838f48fffffffff,2.0,0.0,0.0,0.0
838f4afffffffff,31.0,0.0,0.0,0.0
838f54fffffffff,92.0,0.0,0.0,0.0
838f55fffffffff,95.0,0.0,0.0,0.0
838f59fffffffff,4.0,0.0,0.0,0.0
838f5cfffffffff,9.0,0.0,0.0,0.0
838f5dfffffffff,7.0,0.0,0.0,0.0
838f70fffffffff,20.0,0.0,0.0,0.0
838f72fffffffff,140.0,0.0,0.0,0.0
838f73fffffffff,251.0,0.0,0.0,0.0
838f74fffffffff,6.0,0.0,0.0,0.0
838f76fffffffff,56.0,0.0,0.0,0.0
83b321fffffffff,1.0,0.0,0.0,0.0
83b324fffffffff,6.0,0.0,0.0,0.0
83b325fffffffff,105.0,0.0,0.0,0.0
