cell_id,Coeligena violifer,Coeligena violifer dichroura,Coeligena violifer albicaudata,Coeligena violifer osculans,Coeligena violifer violifer
838b20fffffffff,26.0,0.0,0.0,0.0,0.0
838b21fffffffff,92.0,0.0,0.0,0.0,16.0
838b2cfffffffff,169.0,0.0,0.0,0.0,13.0
838b60fffffffff,5.0,0.0,0.0,0.0,0.0
838b61fffffffff,807.0,0.0,0.0,77.0,0.0
838b66fffffffff,5.0,0.0,0.0,0.0,0.0
838b6cfffffffff,473.0,0.0,0.0,70.0,0.0
838b75fffffffff,14.0,0.0,0.0,0.0,0.0
838e60fffffffff,2.0,0.0,0.0,0.0,0.0
838e61fffffffff,21.0,0.0,0.0,0.0,0.0
838e64fffffffff,19.0,0.0,0.0,0.0,0.0
838e65fffffffff,133.0,9.0,0.0,0.0,0.0
838e6cfffffffff,10.0,0.0,0.0,0.0,0.0
838e6dfffffffff,59.0,0.0,0.0,5.0,0.0
838f42fffffffff,21.0,0.0,0.0,0.0,0.0
838f46fffffffff,6.0,0.0,0.0,0.0,0.0
838f4afffffffff,42.0,0.0,0.0,0.0,0.0
838f55fffffffff,190.0,15.0,0.0,0.0,0.0
838f59fffffffff,171.0,0.0,0.0,0.0,0.0
838f5cfffffffff,12.0,0.0,0.0,0.0,0.0
838f5dfffffffff,9.0,0.0,0.0,0.0,0.0
838f73fffffffff,6.0,0.0,0.0,0.0,0.0
83b321fffffffff,6.0,0.0,0.0,0.0,0.0
83b324fffffffff,5.0,0.0,0.0,0.0,0.0
83b325fffffffff,104.0,0.0,0.0,0.0,13.0
