cell_id,Cyornis unicolor,Cyornis unicolor unicolor,Cyornis unicolor diaoluoensis,Cyornis unicolor cyanopolia
823c07fffffffff,105.0,0.0,0.0,0.0
823c0ffffffffff,34.0,0.0,0.0,0.0
823c17fffffffff,2.0,0.0,0.0,0.0
823c1ffffffffff,114.0,0.0,0.0,0.0
823c37fffffffff,6.0,0.0,0.0,0.0
823c47fffffffff,2.0,0.0,0.0,0.0
823c57fffffffff,198.0,0.0,0.0,0.0
823c5ffffffffff,297.0,0.0,0.0,0.0
823cc7fffffffff,37.0,0.0,0.0,0.0
823cdffffffffff,10.0,1.0,0.0,0.0
823ce7fffffffff,219.0,0.0,0.0,0.0
823ceffffffffff,68.0,0.0,0.0,0.0
82404ffffffffff,21.0,0.0,0.0,0.0
824067fffffffff,16.0,0.0,0.0,0.0
82406ffffffffff,3.0,0.0,0.0,0.0
824077fffffffff,2.0,0.0,0.0,0.0
82414ffffffffff,2.0,0.0,0.0,0.0
82415ffffffffff,7.0,0.0,0.0,0.0
824167fffffffff,2.0,0.0,0.0,0.0
82416ffffffffff,4.0,0.0,0.0,0.0
824177fffffffff,60.0,0.0,13.0,0.0
826417fffffffff,30.0,8.0,0.0,0.0
826437fffffffff,8.0,0.0,0.0,5.0
826487fffffffff,57.0,21.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0,0.0
826497fffffffff,263.0,47.0,0.0,0.0
82649ffffffffff,4.0,0.0,0.0,0.0
826507fffffffff,149.0,0.0,0.0,0.0
82650ffffffffff,5.0,0.0,0.0,1.0
82651ffffffffff,80.0,0.0,0.0,37.0
826527fffffffff,158.0,0.0,0.0,0.0
826557fffffffff,4.0,0.0,0.0,0.0
826597fffffffff,1.0,0.0,0.0,0.0
8265b7fffffffff,31.0,0.0,0.0,0.0
826807fffffffff,2.0,0.0,0.0,0.0
826817fffffffff,31.0,0.0,0.0,6.0
82681ffffffffff,109.0,0.0,0.0,2.0
8268a7fffffffff,1.0,0.0,0.0,0.0
826937fffffffff,41.0,0.0,0.0,0.0
828c17fffffffff,70.0,0.0,0.0,0.0
828c1ffffffffff,6.0,0.0,0.0,0.0
828c97fffffffff,9.0,0.0,0.0,0.0
828cd7fffffffff,5.0,0.0,0.0,2.0
828d87fffffffff,2.0,0.0,0.0,0.0
828da7fffffffff,32.0,0.0,0.0,1.0
