cell_id,Psarocolius bifasciatus,Psarocolius bifasciatus yuracares/neivae,Psarocolius bifasciatus bifasciatus
825f67fffffffff,2.0,0.0,0.0
825f6ffffffffff,8.0,0.0,0.0
825f77fffffffff,20.0,1.0,0.0
82660ffffffffff,24.0,0.0,0.0
826647fffffffff,219.0,8.0,0.0
82664ffffffffff,6.0,0.0,0.0
826657fffffffff,14.0,0.0,0.0
82665ffffffffff,658.0,42.0,0.0
826667fffffffff,25.0,0.0,0.0
82666ffffffffff,34.0,0.0,0.0
8266c7fffffffff,59.0,0.0,0.0
8266cffffffffff,27.0,0.0,0.0
8266d7fffffffff,163.0,0.0,0.0
8266dffffffffff,423.0,37.0,0.0
8266e7fffffffff,890.0,0.0,0.0
8266effffffffff,169.0,3.0,0.0
828047fffffffff,39.0,0.0,0.0
828067fffffffff,6.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0
828077fffffffff,4.0,0.0,0.0
828147fffffffff,12.0,0.0,0.0
82814ffffffffff,71.0,0.0,0.0
82815ffffffffff,54.0,0.0,0.0
828a07fffffffff,3.0,0.0,0.0
828a17fffffffff,25.0,0.0,0.0
828a1ffffffffff,5.0,0.0,0.0
828a27fffffffff,5.0,0.0,0.0
828a2ffffffffff,4.0,0.0,0.0
828a37fffffffff,2.0,0.0,0.0
828a47fffffffff,48.0,3.0,0.0
828a4ffffffffff,9.0,0.0,0.0
828a57fffffffff,3.0,0.0,0.0
828a5ffffffffff,3.0,3.0,0.0
828a6ffffffffff,27.0,0.0,0.0
828a87fffffffff,74.0,0.0,0.0
828a97fffffffff,1.0,0.0,0.0
828aaffffffffff,62.0,0.0,0.0
828ab7fffffffff,5.0,0.0,0.0
828ac7fffffffff,1.0,0.0,0.0
828adffffffffff,33.0,4.0,0.0
828af7fffffffff,41.0,0.0,0.0
828b0ffffffffff,8.0,0.0,0.0
828b17fffffffff,8.0,0.0,0.0
828b27fffffffff,43.0,0.0,0.0
828b2ffffffffff,43.0,0.0,0.0
828b47fffffffff,854.0,8.0,0.0
828b4ffffffffff,10.0,0.0,0.0
828b57fffffffff,25.0,0.0,0.0
828b5ffffffffff,16.0,0.0,0.0
828b67fffffffff,683.0,22.0,0.0
828b6ffffffffff,154.0,0.0,0.0
828b77fffffffff,75.0,0.0,0.0
828b8ffffffffff,4.0,0.0,0.0
828b9ffffffffff,395.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0
828f47fffffffff,71.0,0.0,0.0
828f4ffffffffff,5.0,0.0,0.0
828f6ffffffffff,15.0,0.0,0.0
828f77fffffffff,3.0,0.0,0.0
82a85ffffffffff,3.0,0.0,0.0
82a8cffffffffff,3.0,0.0,0.0
82b327fffffffff,2.0,0.0,0.0
