cell_id,Euplectes macroura,Euplectes macroura macrocercus,Euplectes macroura macroura/conradsi
825287fffffffff,2.0,0.0,0.0
825297fffffffff,13.0,0.0,0.0
82529ffffffffff,24.0,0.0,0.0
82541ffffffffff,1.0,0.0,0.0
82544ffffffffff,2.0,0.0,0.0
8254affffffffff,3.0,0.0,0.0
8254e7fffffffff,12.0,0.0,0.0
8254effffffffff,2.0,0.0,0.0
8254f7fffffffff,29.0,0.0,3.0
825887fffffffff,4.0,0.0,0.0
82588ffffffffff,1.0,0.0,0.0
825897fffffffff,40.0,0.0,0.0
8258a7fffffffff,7.0,0.0,0.0
8258b7fffffffff,12.0,0.0,0.0
8258cffffffffff,1.0,0.0,0.0
8258d7fffffffff,1.0,0.0,0.0
8258dffffffffff,24.0,0.0,0.0
8258e7fffffffff,35.0,0.0,0.0
8258f7fffffffff,2.0,0.0,0.0
82599ffffffffff,2.0,0.0,0.0
826a17fffffffff,2.0,0.0,0.0
826a47fffffffff,1.0,0.0,0.0
826a5ffffffffff,5.0,0.0,0.0
826a67fffffffff,6.0,0.0,0.0
826ac7fffffffff,25.0,0.0,0.0
826acffffffffff,40.0,0.0,0.0
826adffffffffff,9.0,0.0,0.0
826ae7fffffffff,3.0,0.0,0.0
826aeffffffffff,420.0,2.0,0.0
826b9ffffffffff,1.0,0.0,0.0
826bb7fffffffff,1.0,0.0,0.0
82750ffffffffff,109.0,0.0,11.0
827517fffffffff,1.0,0.0,0.0
82751ffffffffff,7.0,0.0,0.0
827527fffffffff,57.0,0.0,4.0
82752ffffffffff,81.0,0.0,7.0
827537fffffffff,4.0,0.0,0.0
827577fffffffff,45.0,0.0,3.0
827587fffffffff,1.0,0.0,0.0
8275a7fffffffff,2.0,0.0,0.0
8275affffffffff,1.0,0.0,0.0
827a4ffffffffff,89.0,7.0,0.0
827a6ffffffffff,310.0,0.0,0.0
827acffffffffff,17.0,0.0,0.0
82821ffffffffff,6.0,0.0,0.0
828287fffffffff,2.0,0.0,0.0
82828ffffffffff,1.0,0.0,0.0
8282a7fffffffff,12.0,0.0,0.0
8282affffffffff,15.0,0.0,0.0
8282d7fffffffff,10.0,0.0,0.0
8282f7fffffffff,1.0,0.0,0.0
828317fffffffff,4.0,0.0,0.0
828337fffffffff,1.0,0.0,1.0
828387fffffffff,3.0,0.0,0.0
82838ffffffffff,4.0,0.0,0.0
8283affffffffff,4.0,0.0,2.0
829607fffffffff,12.0,0.0,4.0
82960ffffffffff,19.0,0.0,2.0
829627fffffffff,11.0,0.0,0.0
82962ffffffffff,61.0,0.0,6.0
829637fffffffff,3.0,0.0,0.0
829647fffffffff,1.0,0.0,0.0
829657fffffffff,7.0,0.0,3.0
829677fffffffff,1.0,0.0,0.0
829697fffffffff,1.0,0.0,0.0
82969ffffffffff,1.0,0.0,0.0
8296a7fffffffff,7.0,0.0,0.0
8296affffffffff,3.0,0.0,0.0
8296e7fffffffff,2.0,0.0,0.0
82970ffffffffff,2.0,0.0,0.0
82971ffffffffff,83.0,0.0,0.0
829757fffffffff,38.0,0.0,11.0
82978ffffffffff,6.0,0.0,0.0
8297affffffffff,8.0,0.0,0.0
