cell_id,Geospizopsis unicolor,Geospizopsis unicolor nivaria/geospizopsis,Geospizopsis unicolor inca,Geospizopsis unicolor [unicolor Group]
8366c2fffffffff,2.0,0.0,0.0,0.0
8366d1fffffffff,3.0,0.0,0.0,0.0
8366defffffffff,4.0,0.0,0.0,0.0
8366e0fffffffff,5.0,0.0,0.0,0.0
8366e6fffffffff,3.0,0.0,0.0,0.0
838e66fffffffff,2.0,0.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0,0.0
838f76fffffffff,6.0,0.0,0.0,0.0
83b209fffffffff,3.0,0.0,0.0,0.0
83b25cfffffffff,3.0,0.0,0.0,0.0
83b2c4fffffffff,1.0,0.0,0.0,0.0
83b2c5fffffffff,1.0,0.0,0.0,0.0
83b2e3fffffffff,3.0,0.0,0.0,0.0
83b35afffffffff,7.0,0.0,0.0,0.0
83b373fffffffff,2.0,0.0,0.0,0.0
83ce9dfffffffff,2.0,0.0,0.0,0.0
83cf88fffffffff,19.0,0.0,0.0,0.0
83cf8afffffffff,8.0,0.0,0.0,0.0
83cf8bfffffffff,11.0,0.0,0.0,0.0
83cf8cfffffffff,16.0,0.0,0.0,0.0
83cf8dfffffffff,3.0,0.0,0.0,0.0
83df68fffffffff,2.0,0.0,0.0,0.0
83df69fffffffff,1.0,0.0,0.0,0.0
