cell_id,Cyanocitta stelleri,Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri annectens,Cyanocitta stelleri [diademata Group],Cyanocitta stelleri [coronata Group]
840c421ffffffff,12.0,2.0,0.0,0.0,0.0
840c425ffffffff,7.0,2.0,0.0,0.0,0.0
840c427ffffffff,3.0,0.0,0.0,0.0,0.0
840c429ffffffff,1.0,1.0,0.0,0.0,0.0
840c42dffffffff,1011.0,165.0,0.0,0.0,0.0
840c441ffffffff,39.0,0.0,0.0,0.0,0.0
840c451ffffffff,24.0,2.0,0.0,0.0,0.0
840c455ffffffff,125.0,20.0,0.0,0.0,0.0
840c461ffffffff,55.0,2.0,0.0,0.0,0.0
840c465ffffffff,63.0,4.0,0.0,0.0,0.0
840c467ffffffff,20.0,5.0,0.0,0.0,0.0
840c46dffffffff,64.0,14.0,0.0,0.0,0.0
840c503ffffffff,8.0,0.0,0.0,0.0,0.0
840c511ffffffff,35.0,4.0,0.0,0.0,0.0
840c515ffffffff,30.0,4.0,0.0,0.0,0.0
840c51dffffffff,235.0,4.0,0.0,0.0,0.0
840c551ffffffff,12.0,0.0,0.0,0.0,0.0
840c555ffffffff,33.0,0.0,0.0,0.0,0.0
840c55bffffffff,52.0,2.0,0.0,0.0,0.0
840c68bffffffff,6.0,0.0,0.0,0.0,0.0
840c711ffffffff,1.0,0.0,0.0,0.0,0.0
840c715ffffffff,2.0,0.0,0.0,0.0,0.0
840c733ffffffff,1524.0,121.0,0.0,0.0,0.0
840c73bffffffff,50.0,0.0,0.0,0.0,0.0
8412143ffffffff,2.0,0.0,0.0,0.0,0.0
8412147ffffffff,2.0,0.0,0.0,0.0,0.0
8412185ffffffff,2.0,0.0,0.0,0.0,0.0
84121e1ffffffff,2.0,0.0,0.0,0.0,0.0
8412801ffffffff,4.0,2.0,0.0,0.0,0.0
8412805ffffffff,98.0,2.0,0.0,0.0,0.0
8412807ffffffff,3.0,0.0,0.0,0.0,0.0
841280dffffffff,59.0,1.0,0.0,0.0,0.0
8412821ffffffff,2.0,0.0,0.0,0.0,0.0
8412823ffffffff,1.0,1.0,0.0,0.0,0.0
8412825ffffffff,2.0,0.0,0.0,0.0,0.0
8412829ffffffff,2.0,0.0,0.0,0.0,0.0
8412841ffffffff,1.0,0.0,0.0,0.0,0.0
8412845ffffffff,2.0,0.0,0.0,0.0,0.0
8412847ffffffff,290.0,4.0,0.0,0.0,0.0
841284bffffffff,4.0,0.0,0.0,0.0,0.0
841284dffffffff,8.0,0.0,0.0,0.0,0.0
8412851ffffffff,12.0,0.0,0.0,0.0,0.0
