cell_id,Megascops guatemalae,Megascops guatemalae [guatemalae Group],Megascops guatemalae vermiculatus
834424fffffffff,5.0,0.0,0.0
834501fffffffff,78.0,0.0,0.0
834505fffffffff,4.0,0.0,0.0
834508fffffffff,327.0,57.0,0.0
834509fffffffff,9.0,0.0,0.0
83450afffffffff,82.0,3.0,0.0
83450bfffffffff,30.0,4.0,0.0
83450cfffffffff,22.0,9.0,0.0
83450dfffffffff,42.0,12.0,0.0
83450efffffffff,79.0,23.0,0.0
834520fffffffff,127.0,19.0,0.0
834521fffffffff,107.0,0.0,0.0
834522fffffffff,226.0,34.0,0.0
834523fffffffff,35.0,1.0,0.0
834524fffffffff,25.0,2.0,0.0
834525fffffffff,92.0,24.0,0.0
834526fffffffff,34.0,21.0,0.0
834528fffffffff,49.0,10.0,0.0
83452afffffffff,206.0,5.0,0.0
83452bfffffffff,71.0,15.0,0.0
83452cfffffffff,121.0,43.0,0.0
83452dfffffffff,18.0,6.0,0.0
83452efffffffff,907.0,53.0,0.0
834530fffffffff,2.0,0.0,0.0
834531fffffffff,7.0,1.0,0.0
834532fffffffff,4.0,0.0,0.0
834534fffffffff,17.0,0.0,0.0
834535fffffffff,15.0,4.0,0.0
834536fffffffff,4.0,0.0,0.0
834572fffffffff,2.0,0.0,0.0
834802fffffffff,2.0,0.0,0.0
834806fffffffff,6.0,0.0,0.0
83480afffffffff,41.0,0.0,0.0
834815fffffffff,2.0,0.0,0.0
834833fffffffff,7.0,0.0,0.0
834836fffffffff,119.0,5.0,0.0
8348e4fffffffff,2.0,0.0,0.0
834998fffffffff,8.0,0.0,0.0
8349a8fffffffff,1.0,0.0,0.0
8349a9fffffffff,19.0,2.0,0.0
8366a6fffffffff,1.0,0.0,0.0
8366b0fffffffff,1.0,0.0,0.0
8366b4fffffffff,36.0,0.0,0.0
8366b5fffffffff,43.0,0.0,0.0
8366b6fffffffff,3.0,0.0,0.0
836790fffffffff,5.0,0.0,0.0
836796fffffffff,3.0,0.0,0.0
83679afffffffff,851.0,0.0,0.0
83679bfffffffff,34.0,0.0,0.0
836d21fffffffff,63.0,13.0,0.0
836d22fffffffff,6.0,0.0,0.0
836d23fffffffff,71.0,22.0,0.0
836d25fffffffff,2.0,0.0,0.0
836d29fffffffff,2.0,0.0,0.0
836d2afffffffff,4.0,3.0,0.0
836d2cfffffffff,45.0,18.0,0.0
836d2dfffffffff,249.0,0.0,0.0
836d2efffffffff,5.0,3.0,0.0
836d30fffffffff,31.0,0.0,0.0
836d31fffffffff,46.0,26.0,0.0
836d33fffffffff,32.0,6.0,0.0
836d35fffffffff,8.0,0.0,0.0
836d60fffffffff,3.0,0.0,0.0
836d64fffffffff,15.0,5.0,0.0
836d65fffffffff,23.0,0.0,0.0
836d68fffffffff,28.0,0.0,0.0
836d69fffffffff,124.0,0.0,0.0
836d6bfffffffff,122.0,0.0,0.0
836d6cfffffffff,2.0,0.0,0.0
836d6dfffffffff,79.0,0.0,0.0
