cell_id,Amazilia tzacatl,Amazilia tzacatl [tzacatl Group],Amazilia tzacatl handleyi
824507fffffffff,806.0,26.0,0.0
82450ffffffffff,235.0,9.0,0.0
824527fffffffff,12222.0,164.0,0.0
82452ffffffffff,27561.0,1024.0,0.0
824537fffffffff,2229.0,0.0,0.0
824577fffffffff,28.0,0.0,0.0
824997fffffffff,60.0,2.0,0.0
826607fffffffff,498.0,0.0,0.0
82660ffffffffff,4030.0,41.0,0.0
826617fffffffff,3089.0,4.0,0.0
82661ffffffffff,14531.0,312.0,0.0
826627fffffffff,3283.0,285.0,0.0
82662ffffffffff,394.0,12.0,0.0
826637fffffffff,795.0,1.0,0.0
826657fffffffff,5.0,0.0,0.0
826677fffffffff,9.0,0.0,0.0
826687fffffffff,64.0,12.0,0.0
8266a7fffffffff,18440.0,1657.0,29.0
8266affffffffff,3.0,0.0,0.0
8266b7fffffffff,33097.0,249.0,0.0
8266c7fffffffff,645.0,8.0,0.0
8266d7fffffffff,16101.0,1782.0,0.0
8266e7fffffffff,11838.0,148.0,0.0
8266f7fffffffff,10814.0,74.0,0.0
826757fffffffff,266.0,0.0,0.0
82675ffffffffff,18.0,1.0,0.0
826797fffffffff,571.0,0.0,0.0
82679ffffffffff,5320.0,59.0,0.0
8267b7fffffffff,18.0,0.0,0.0
826d27fffffffff,1166.0,138.0,0.0
826d2ffffffffff,1580.0,136.0,0.0
826d37fffffffff,1142.0,168.0,0.0
826d67fffffffff,3025.0,0.0,0.0
826d6ffffffffff,57723.0,0.0,0.0
828f0ffffffffff,797.0,84.0,0.0
828f27fffffffff,29.0,0.0,0.0
828f2ffffffffff,1681.0,66.0,0.0
828f77fffffffff,68.0,2.0,0.0
