cell_id,Malacoptila striata,Malacoptila striata minor,Malacoptila striata striata
828007fffffffff,12.0,4.0,0.0
82800ffffffffff,8.0,7.0,0.0
828137fffffffff,263.0,0.0,20.0
82a597fffffffff,11.0,0.0,1.0
82a807fffffffff,122.0,0.0,28.0
82a80ffffffffff,7.0,0.0,1.0
82a817fffffffff,1164.0,0.0,211.0
82a81ffffffffff,319.0,0.0,29.0
82a827fffffffff,2.0,0.0,0.0
82a837fffffffff,184.0,0.0,12.0
82a887fffffffff,233.0,0.0,43.0
82a897fffffffff,73.0,0.0,21.0
82a8a7fffffffff,346.0,0.0,48.0
82a8affffffffff,61.0,0.0,19.0
82a91ffffffffff,28.0,0.0,6.0
