cell_id,Ortygospiza atricollis,Ortygospiza atricollis [atricollis Group],Ortygospiza atricollis [fuscocrissa Group],Ortygospiza atricollis [gabonensis Group]
835298fffffffff,1.0,0.0,0.0,0.0
83529bfffffffff,9.0,0.0,6.0,0.0
835410fffffffff,25.0,15.0,0.0,0.0
835413fffffffff,6.0,5.0,0.0,0.0
835415fffffffff,6.0,0.0,0.0,0.0
835419fffffffff,3.0,0.0,0.0,0.0
83541afffffffff,19.0,10.0,0.0,0.0
83541bfffffffff,43.0,28.0,0.0,0.0
8354a9fffffffff,18.0,10.0,0.0,0.0
8354acfffffffff,6.0,0.0,0.0,0.0
8354adfffffffff,4.0,0.0,0.0,0.0
8354f0fffffffff,1.0,0.0,0.0,0.0
8354f4fffffffff,35.0,25.0,0.0,0.0
8354f5fffffffff,7.0,0.0,0.0,0.0
835851fffffffff,1.0,0.0,0.0,0.0
835858fffffffff,2.0,2.0,0.0,0.0
8358a4fffffffff,2.0,2.0,0.0,0.0
8358cdfffffffff,1.0,1.0,0.0,0.0
8358e2fffffffff,25.0,10.0,0.0,0.0
8358f5fffffffff,4.0,3.0,0.0,0.0
835998fffffffff,14.0,8.0,0.0,0.0
83599afffffffff,39.0,25.0,0.0,0.0
83599efffffffff,31.0,19.0,0.0,0.0
836a5afffffffff,17.0,0.0,0.0,0.0
836ac1fffffffff,7.0,0.0,0.0,5.0
836ac3fffffffff,88.0,17.0,0.0,37.0
836adcfffffffff,13.0,2.0,0.0,0.0
836ae8fffffffff,6.0,2.0,0.0,0.0
836aeafffffffff,8.0,7.0,0.0,0.0
836aeefffffffff,29.0,11.0,0.0,0.0
837520fffffffff,8.0,5.0,0.0,0.0
837525fffffffff,1.0,0.0,0.0,0.0
837529fffffffff,19.0,14.0,0.0,0.0
83752afffffffff,1.0,1.0,0.0,0.0
837574fffffffff,1.0,1.0,0.0,0.0
837576fffffffff,16.0,15.0,0.0,0.0
837a40fffffffff,15.0,0.0,0.0,0.0
837a41fffffffff,5.0,0.0,3.0,0.0
837a45fffffffff,8.0,0.0,3.0,0.0
837a48fffffffff,10.0,0.0,0.0,0.0
837a49fffffffff,4.0,2.0,0.0,0.0
837a4bfffffffff,1.0,0.0,0.0,0.0
837a4dfffffffff,5.0,0.0,2.0,0.0
837a61fffffffff,16.0,0.0,9.0,0.0
837a65fffffffff,3.0,0.0,0.0,0.0
837a68fffffffff,187.0,0.0,99.0,0.0
837a6afffffffff,34.0,0.0,12.0,0.0
837a6bfffffffff,4.0,0.0,3.0,0.0
837a6dfffffffff,67.0,0.0,29.0,2.0
837a6efffffffff,115.0,0.0,33.0,0.0
837acafffffffff,17.0,0.0,16.0,0.0
837acbfffffffff,2.0,0.0,2.0,0.0
837ad9fffffffff,1.0,0.0,1.0,0.0
8382a8fffffffff,2.0,0.0,0.0,2.0
838326fffffffff,2.0,0.0,0.0,0.0
838333fffffffff,3.0,0.0,0.0,0.0
838335fffffffff,2.0,0.0,0.0,0.0
83838afffffffff,1.0,0.0,0.0,1.0
839600fffffffff,2.0,0.0,0.0,0.0
839609fffffffff,6.0,0.0,0.0,2.0
83960bfffffffff,1.0,0.0,0.0,1.0
839623fffffffff,2.0,0.0,0.0,0.0
839628fffffffff,1.0,0.0,0.0,0.0
83962bfffffffff,8.0,0.0,0.0,0.0
83962cfffffffff,11.0,0.0,4.0,0.0
83962dfffffffff,1.0,0.0,0.0,0.0
839656fffffffff,3.0,0.0,0.0,3.0
839668fffffffff,1.0,0.0,0.0,0.0
839674fffffffff,3.0,0.0,2.0,0.0
839675fffffffff,8.0,0.0,0.0,0.0
839686fffffffff,5.0,0.0,0.0,0.0
839690fffffffff,9.0,0.0,4.0,0.0
839692fffffffff,14.0,0.0,0.0,0.0
839693fffffffff,49.0,0.0,30.0,0.0
83969afffffffff,1.0,0.0,1.0,0.0
8396a2fffffffff,2.0,0.0,0.0,0.0
8396aefffffffff,1.0,0.0,0.0,0.0
8396b1fffffffff,5.0,0.0,3.0,0.0
83970efffffffff,2.0,0.0,1.0,0.0
839711fffffffff,14.0,0.0,10.0,0.0
839715fffffffff,37.0,0.0,18.0,0.0
839719fffffffff,4.0,0.0,2.0,0.0
83971dfffffffff,3.0,0.0,3.0,0.0
839724fffffffff,1.0,0.0,1.0,0.0
839728fffffffff,2.0,0.0,0.0,0.0
83972cfffffffff,2.0,0.0,0.0,0.0
83972dfffffffff,4.0,0.0,0.0,0.0
839735fffffffff,2.0,0.0,0.0,0.0
839741fffffffff,1.0,0.0,0.0,0.0
839743fffffffff,11.0,0.0,6.0,0.0
839746fffffffff,3.0,0.0,0.0,0.0
83974afffffffff,8.0,0.0,1.0,0.0
83974efffffffff,1.0,0.0,0.0,0.0
839751fffffffff,8.0,0.0,2.0,0.0
839755fffffffff,2.0,0.0,0.0,0.0
839758fffffffff,5.0,0.0,0.0,0.0
83975cfffffffff,5.0,0.0,3.0,0.0
83975efffffffff,2.0,0.0,2.0,0.0
839772fffffffff,6.0,0.0,0.0,0.0
83ac80fffffffff,6.0,0.0,6.0,0.0
83ac81fffffffff,2.0,0.0,2.0,0.0
83ac82fffffffff,6.0,0.0,4.0,0.0
83ac86fffffffff,10.0,0.0,10.0,0.0
83ac96fffffffff,4.0,0.0,0.0,0.0
83ac9dfffffffff,3.0,0.0,3.0,0.0
83aca6fffffffff,4.0,0.0,4.0,0.0
83ad32fffffffff,6.0,0.0,2.0,0.0
83ad36fffffffff,8.0,0.0,2.0,0.0
