cell_id,Haemorhous mexicanus,Haemorhous mexicanus [mexicanus Group],Haemorhous mexicanus mcgregori
830c46fffffffff,8.0,0.0,0.0
830c73fffffffff,22.0,0.0,0.0
830d5bfffffffff,5.0,0.0,0.0
830e49fffffffff,6.0,0.0,0.0
831226fffffffff,1.0,0.0,0.0
831290fffffffff,1.0,0.0,0.0
83129dfffffffff,2.0,0.0,0.0
8312b0fffffffff,4.0,0.0,0.0
8312c1fffffffff,1.0,0.0,0.0
8312c8fffffffff,3.0,0.0,0.0
8312cafffffffff,1.0,0.0,0.0
8312ccfffffffff,17.0,2.0,0.0
8312cefffffffff,2.0,0.0,0.0
8312dbfffffffff,4.0,4.0,0.0
8312ddfffffffff,10.0,0.0,0.0
8312ecfffffffff,2.0,0.0,0.0
831382fffffffff,2.0,0.0,0.0
831386fffffffff,2.0,0.0,0.0
83138cfffffffff,2.0,0.0,0.0
83261afffffffff,2.0,2.0,0.0
83262cfffffffff,2.0,0.0,0.0
832630fffffffff,2.0,0.0,0.0
832634fffffffff,6.0,0.0,0.0
832640fffffffff,11.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0
832642fffffffff,1.0,0.0,0.0
832644fffffffff,2.0,0.0,0.0
832646fffffffff,13.0,1.0,0.0
832648fffffffff,5.0,0.0,0.0
832649fffffffff,5.0,0.0,0.0
83264afffffffff,8.0,4.0,0.0
83264bfffffffff,4.0,2.0,0.0
83264cfffffffff,4.0,1.0,0.0
83264dfffffffff,7.0,3.0,0.0
83264efffffffff,11.0,2.0,0.0
832653fffffffff,2.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0
832655fffffffff,2.0,0.0,0.0
832656fffffffff,14.0,0.0,0.0
832659fffffffff,19.0,4.0,0.0
83265afffffffff,4.0,0.0,0.0
83265bfffffffff,4.0,0.0,0.0
83265dfffffffff,5.0,0.0,0.0
832660fffffffff,2.0,0.0,0.0
832663fffffffff,2.0,0.0,0.0
832664fffffffff,41.0,2.0,0.0
832666fffffffff,27.0,0.0,0.0
832669fffffffff,31.0,0.0,0.0
83266bfffffffff,51.0,0.0,0.0
832672fffffffff,1.0,1.0,0.0
832674fffffffff,4.0,4.0,0.0
832680fffffffff,6.0,0.0,0.0
832681fffffffff,237.0,0.0,0.0
832682fffffffff,5.0,0.0,0.0
832683fffffffff,5.0,2.0,0.0
832688fffffffff,30.0,0.0,0.0
832689fffffffff,7.0,0.0,0.0
83268afffffffff,6.0,0.0,0.0
