cell_id,Thinornis tricollaris,Thinornis tricollaris tricollaris,Thinornis tricollaris bifrontatus
822c27fffffffff,3.0,0.0,0.0
822db7fffffffff,77.0,11.0,0.0
823e5ffffffffff,27.0,2.0,0.0
8253b7fffffffff,2.0,0.0,0.0
827a6ffffffffff,21.0,20.0,0.0
82972ffffffffff,1.0,1.0,0.0
82975ffffffffff,4.0,0.0,0.0
82ac97fffffffff,3.0,0.0,0.0
82aca7fffffffff,2.0,0.0,0.0
82acaffffffffff,4.0,4.0,0.0
82bc4ffffffffff,2.0,2.0,0.0
82bcc7fffffffff,18.0,12.0,0.0
82bcd7fffffffff,9.0,0.0,0.0
82bcdffffffffff,5.0,2.0,0.0
82bce7fffffffff,2.0,2.0,0.0
82bceffffffffff,2.0,0.0,0.0
