cell_id,Pternistis castaneicollis,Pternistis castaneicollis castaneicollis,Pternistis castaneicollis atrifrons
835280fffffffff,4.0,3.0,0.0
835286fffffffff,2.0,2.0,0.0
83529bfffffffff,1.0,0.0,0.0
836a49fffffffff,1.0,0.0,0.0
836a4dfffffffff,1.0,0.0,0.0
837a5afffffffff,4.0,0.0,4.0
837a80fffffffff,1.0,1.0,0.0
837ac1fffffffff,4.0,4.0,0.0
837ac8fffffffff,1.0,1.0,0.0
837accfffffffff,338.0,279.0,2.0
837acdfffffffff,5.0,3.0,0.0
837acefffffffff,4.0,4.0,0.0
837ad9fffffffff,6.0,6.0,0.0
837ae8fffffffff,2.0,2.0,0.0
837aeafffffffff,1.0,0.0,0.0
837aedfffffffff,26.0,0.0,26.0
