cell_id,Vanellus miles,Vanellus miles miles,Vanellus miles novaehollandiae
841fa59ffffffff,2.0,0.0,0.0
846520dffffffff,4.0,0.0,0.0
8465263ffffffff,4.0,0.0,0.0
846526bffffffff,17.0,2.0,0.0
849451dffffffff,2.0,0.0,0.0
84945e5ffffffff,1.0,0.0,0.0
849481dffffffff,2.0,2.0,0.0
8494c99ffffffff,2.0,2.0,0.0
8494f2dffffffff,2.0,2.0,0.0
84951a7ffffffff,3.0,0.0,0.0
849b6a7ffffffff,2.0,0.0,0.0
849b6b5ffffffff,1.0,0.0,0.0
849b6e7ffffffff,2.0,0.0,0.0
849c0e9ffffffff,1.0,0.0,1.0
849c4a3ffffffff,3.0,3.0,0.0
849c6cbffffffff,2.0,0.0,2.0
849caadffffffff,2.0,0.0,0.0
849cae7ffffffff,1.0,0.0,0.0
849d241ffffffff,3.0,0.0,0.0
849e245ffffffff,14.0,0.0,0.0
849f515ffffffff,1.0,0.0,0.0
84a7267ffffffff,24.0,0.0,4.0
84a726dffffffff,2.0,0.0,0.0
84b865dffffffff,2.0,0.0,0.0
84bb085ffffffff,3.0,0.0,0.0
84bb089ffffffff,2.0,0.0,0.0
84bb091ffffffff,8.0,0.0,0.0
84bb0a1ffffffff,2.0,0.0,0.0
84bb283ffffffff,2.0,0.0,0.0
84bb295ffffffff,12.0,0.0,2.0
84bb299ffffffff,4.0,0.0,0.0
84bb29bffffffff,3.0,0.0,0.0
84bb2b1ffffffff,6.0,0.0,0.0
84bb2b3ffffffff,2.0,0.0,0.0
84bb2b9ffffffff,30.0,0.0,2.0
84bb2bbffffffff,24.0,0.0,6.0
84bb2bdffffffff,4.0,0.0,0.0
84bb2dbffffffff,5.0,0.0,0.0
84bb365ffffffff,3.0,0.0,0.0
84bb367ffffffff,2.0,0.0,0.0
84bb501ffffffff,6.0,0.0,0.0
84bb503ffffffff,1.0,0.0,1.0
84bb50dffffffff,2.0,0.0,0.0
84bb539ffffffff,2.0,0.0,0.0
84be085ffffffff,1.0,0.0,0.0
84be089ffffffff,7.0,0.0,0.0
84be0c3ffffffff,1.0,0.0,0.0
84be0d3ffffffff,78.0,0.0,0.0
84be0e3ffffffff,3.0,0.0,0.0
84be189ffffffff,1.0,0.0,0.0
84be1d3ffffffff,1.0,0.0,0.0
84be293ffffffff,2.0,0.0,0.0
84be403ffffffff,4.0,0.0,0.0
84be409ffffffff,1.0,0.0,0.0
84be45bffffffff,3.0,0.0,0.0
84be497ffffffff,2.0,0.0,0.0
84be607ffffffff,8.0,0.0,2.0
84be60dffffffff,1.0,0.0,0.0
84be631ffffffff,3.0,0.0,0.0
84be68dffffffff,1.0,0.0,0.0
84be6e7ffffffff,1.0,0.0,0.0
84be6edffffffff,1.0,0.0,0.0
84be705ffffffff,2.0,0.0,0.0
84be707ffffffff,2.0,0.0,0.0
84be711ffffffff,6.0,0.0,0.0
84be71dffffffff,3.0,0.0,1.0
84be725ffffffff,52.0,0.0,0.0
84be729ffffffff,9.0,0.0,0.0
84be72bffffffff,4.0,0.0,0.0
84be72dffffffff,534.0,0.0,16.0
84be8d1ffffffff,10.0,0.0,4.0
84be8d3ffffffff,5.0,0.0,0.0
84be8d9ffffffff,26.0,0.0,7.0
84bece9ffffffff,2.0,0.0,2.0
84bf485ffffffff,1.0,0.0,0.0
84bf4cbffffffff,2.0,0.0,2.0
84bf4ddffffffff,2.0,0.0,0.0
84c9863ffffffff,4.0,0.0,2.0
84c9869ffffffff,2.0,0.0,0.0
84c9931ffffffff,19.0,0.0,0.0
84c99e9ffffffff,3.0,0.0,0.0
84d44dbffffffff,4.0,0.0,0.0
84da801ffffffff,2.0,0.0,0.0
84da809ffffffff,7.0,0.0,0.0
84da813ffffffff,3.0,0.0,2.0
84da82dffffffff,4.0,0.0,0.0
84da83bffffffff,1.0,0.0,1.0
84da847ffffffff,1.0,0.0,0.0
84da861ffffffff,6.0,0.0,0.0
84da8c5ffffffff,1.0,0.0,1.0
84da945ffffffff,3.0,0.0,0.0
84da947ffffffff,2.0,0.0,0.0
84da94bffffffff,7.0,0.0,1.0
84da953ffffffff,2.0,0.0,0.0
84daaa1ffffffff,1.0,0.0,0.0
84daaadffffffff,3.0,0.0,0.0
84dab37ffffffff,11.0,0.0,0.0
