cell_id,Cypseloides niger,Cypseloides niger borealis,Cypseloides niger costaricensis,Cypseloides niger niger
8412185ffffffff,1.0,0.0,0.0,0.0
84121a3ffffffff,1.0,0.0,0.0,0.0
8412805ffffffff,18.0,0.0,0.0,0.0
841280dffffffff,12.0,0.0,0.0,0.0
8412847ffffffff,16.0,0.0,0.0,0.0
841284dffffffff,2.0,0.0,0.0,0.0
8412851ffffffff,5.0,0.0,0.0,0.0
8412857ffffffff,2.0,0.0,0.0,0.0
841285dffffffff,2.0,0.0,0.0,0.0
8412865ffffffff,2.0,0.0,0.0,0.0
841286dffffffff,2.0,0.0,0.0,0.0
8412895ffffffff,2.0,0.0,0.0,0.0
8412897ffffffff,2.0,0.0,0.0,0.0
8412899ffffffff,2.0,0.0,0.0,0.0
841289bffffffff,4.0,0.0,0.0,0.0
84128abffffffff,2.0,0.0,0.0,0.0
84128bdffffffff,38.0,0.0,0.0,0.0
84128d3ffffffff,2.0,0.0,0.0,0.0
84128ddffffffff,3.0,0.0,0.0,0.0
84128e7ffffffff,5.0,0.0,0.0,0.0
8412991ffffffff,4.0,0.0,0.0,0.0
8412993ffffffff,7.0,0.0,0.0,0.0
84129abffffffff,4.0,0.0,0.0,0.0
84129b3ffffffff,5.0,0.0,0.0,0.0
84129b7ffffffff,8.0,0.0,0.0,0.0
84129b9ffffffff,6.0,0.0,0.0,0.0
84129bbffffffff,5.0,0.0,0.0,0.0
84129d9ffffffff,4.0,0.0,0.0,0.0
8412a21ffffffff,2.0,0.0,0.0,0.0
8412a25ffffffff,24.0,0.0,0.0,0.0
8412a2dffffffff,4.0,0.0,0.0,0.0
8412ab3ffffffff,1.0,0.0,0.0,0.0
8412ab5ffffffff,2.0,0.0,0.0,0.0
8412b17ffffffff,4.0,0.0,0.0,0.0
8412b33ffffffff,2.0,0.0,0.0,0.0
8412b4bffffffff,20.0,0.0,0.0,0.0
8412b53ffffffff,4.0,0.0,0.0,0.0
8412c01ffffffff,19.0,0.0,0.0,0.0
8412c03ffffffff,5.0,0.0,0.0,0.0
8412c05ffffffff,26.0,0.0,0.0,0.0
8412c07ffffffff,7.0,0.0,0.0,0.0
8412c0dffffffff,7.0,0.0,0.0,0.0
8412c11ffffffff,10.0,0.0,0.0,0.0
8412c1dffffffff,7.0,0.0,0.0,0.0
8412c21ffffffff,66.0,0.0,0.0,0.0
8412c23ffffffff,2.0,0.0,0.0,0.0
8412c25ffffffff,2.0,0.0,0.0,0.0
8412c29ffffffff,2.0,0.0,0.0,0.0
8412c35ffffffff,5.0,0.0,0.0,0.0
8412c45ffffffff,1.0,0.0,0.0,0.0
8412c47ffffffff,2.0,0.0,0.0,0.0
8412c4dffffffff,11.0,0.0,0.0,0.0
8412ca1ffffffff,6.0,0.0,0.0,0.0
8412ca3ffffffff,37.0,0.0,0.0,0.0
8412cabffffffff,5.0,0.0,0.0,0.0
8412cb5ffffffff,46.0,0.0,0.0,0.0
8412cb7ffffffff,2.0,0.0,0.0,0.0
8412cbdffffffff,139.0,0.0,0.0,0.0
8412d03ffffffff,2.0,0.0,0.0,0.0
8412d05ffffffff,2.0,0.0,0.0,0.0
8412d11ffffffff,9.0,0.0,0.0,0.0
8412d17ffffffff,13.0,0.0,0.0,0.0
8412d19ffffffff,45.0,0.0,0.0,0.0
8412d1bffffffff,2.0,0.0,0.0,0.0
8412d1dffffffff,1.0,0.0,0.0,0.0
8412d23ffffffff,2.0,0.0,0.0,0.0
8412d25ffffffff,13.0,0.0,0.0,0.0
8412d27ffffffff,4.0,0.0,0.0,0.0
8412d29ffffffff,3.0,0.0,0.0,0.0
8412d2bffffffff,5.0,0.0,0.0,0.0
8412d33ffffffff,4.0,0.0,0.0,0.0
8412d35ffffffff,2.0,0.0,0.0,0.0
8412d37ffffffff,10.0,0.0,0.0,0.0
8412d39ffffffff,7.0,0.0,0.0,0.0
8412d3bffffffff,8.0,0.0,0.0,0.0
8412d3dffffffff,1.0,0.0,0.0,0.0
8412d41ffffffff,2.0,0.0,0.0,0.0
8412d4bffffffff,2.0,0.0,0.0,0.0
8412d57ffffffff,6.0,0.0,0.0,0.0
8412d63ffffffff,72.0,0.0,0.0,0.0
8412d67ffffffff,17.0,0.0,0.0,0.0
8412d89ffffffff,34.0,0.0,0.0,0.0
8412d91ffffffff,6.0,0.0,0.0,0.0
8412d93ffffffff,9.0,0.0,0.0,0.0
8412d99ffffffff,2.0,0.0,0.0,0.0
8412da1ffffffff,1.0,0.0,0.0,0.0
8412dadffffffff,2.0,0.0,0.0,0.0
8412dc3ffffffff,36.0,0.0,0.0,0.0
8412dc5ffffffff,6.0,0.0,0.0,0.0
8412dc7ffffffff,24.0,0.0,0.0,0.0
8412dc9ffffffff,22.0,0.0,0.0,0.0
8412dcbffffffff,6.0,0.0,0.0,0.0
8412dd5ffffffff,2.0,0.0,0.0,0.0
8412dd7ffffffff,30.0,0.0,0.0,0.0
8412dddffffffff,2.0,0.0,0.0,0.0
8412de3ffffffff,2.0,0.0,0.0,0.0
8412de5ffffffff,8.0,0.0,0.0,0.0
8412de7ffffffff,2.0,0.0,0.0,0.0
8412debffffffff,4.0,0.0,0.0,0.0
8412dedffffffff,5.0,0.0,0.0,0.0
8412f11ffffffff,2.0,0.0,0.0,0.0
8412f13ffffffff,39.0,0.0,0.0,0.0
8412f15ffffffff,50.0,0.0,0.0,0.0
8412f1bffffffff,64.0,0.0,0.0,0.0
8412f29ffffffff,2.0,0.0,0.0,0.0
8412f37ffffffff,5.0,0.0,0.0,0.0
8412f3bffffffff,3.0,0.0,0.0,0.0
8412f69ffffffff,3.0,0.0,0.0,0.0
8412f6dffffffff,26.0,0.0,0.0,0.0
84139b7ffffffff,6.0,0.0,0.0,0.0
8426801ffffffff,2.0,0.0,0.0,0.0
8426803ffffffff,1.0,0.0,0.0,0.0
8426811ffffffff,4.0,0.0,0.0,0.0
8426819ffffffff,203.0,0.0,0.0,0.0
842681bffffffff,7.0,0.0,0.0,0.0
8426831ffffffff,12.0,0.0,0.0,0.0
8426833ffffffff,4.0,0.0,0.0,0.0
8426837ffffffff,3.0,0.0,0.0,0.0
842683dffffffff,24.0,0.0,0.0,0.0
8426853ffffffff,1.0,0.0,0.0,0.0
8426857ffffffff,2.0,0.0,0.0,0.0
84268a5ffffffff,1.0,0.0,0.0,0.0
84268a9ffffffff,1.0,0.0,0.0,0.0
84268abffffffff,49.0,0.0,0.0,0.0
8426989ffffffff,9.0,0.0,0.0,0.0
842698bffffffff,38.0,0.0,0.0,0.0
842698dffffffff,2.0,0.0,0.0,0.0
8426991ffffffff,4.0,0.0,0.0,0.0
8426999ffffffff,6.0,0.0,0.0,0.0
842699bffffffff,21.0,0.0,0.0,0.0
842699dffffffff,6.0,0.0,0.0,0.0
84269d5ffffffff,24.0,0.0,0.0,0.0
84269d7ffffffff,409.0,0.0,0.0,0.0
84269ddffffffff,11.0,0.0,0.0,0.0
8426aa5ffffffff,7.0,0.0,0.0,0.0
