cell_id,Chrysococcyx cupreus,Chrysococcyx cupreus cupreus,Chrysococcyx cupreus intermedius,Chrysococcyx cupreus insularum
8254f7fffffffff,2.0,0.0,0.0,0.0
826a5ffffffffff,5.0,0.0,0.0,0.0
827a47fffffffff,2.0,0.0,0.0,0.0
827a4ffffffffff,18.0,5.0,0.0,0.0
827a67fffffffff,23.0,0.0,0.0,0.0
827a6ffffffffff,6.0,0.0,0.0,0.0
827acffffffffff,4.0,0.0,0.0,0.0
8282e7fffffffff,5.0,0.0,0.0,1.0
829607fffffffff,2.0,2.0,0.0,0.0
829637fffffffff,1.0,0.0,0.0,0.0
82972ffffffffff,11.0,2.0,0.0,0.0
82974ffffffffff,4.0,0.0,0.0,0.0
82975ffffffffff,5.0,0.0,0.0,0.0
