cell_id,Cisticola eximius,Cisticola eximius winneba,Cisticola eximius eximius/occidens
835440fffffffff,1.0,0.0,0.0
835443fffffffff,2.0,0.0,0.0
83545cfffffffff,1.0,0.0,0.0
8354c5fffffffff,1.0,0.0,0.0
8354eafffffffff,3.0,0.0,0.0
8354f1fffffffff,5.0,0.0,0.0
8354f4fffffffff,1.0,0.0,0.0
8354f5fffffffff,3.0,0.0,0.0
835818fffffffff,1.0,0.0,0.0
8358c8fffffffff,1.0,0.0,0.0
8358e2fffffffff,1.0,0.0,0.0
835991fffffffff,1.0,0.0,0.0
835998fffffffff,8.0,0.0,0.0
83599afffffffff,5.0,0.0,0.0
83599efffffffff,35.0,0.0,0.0
836ae0fffffffff,4.0,0.0,0.0
83751efffffffff,1.0,0.0,0.0
837520fffffffff,1.0,0.0,0.0
837525fffffffff,2.0,0.0,0.0
837529fffffffff,5.0,0.0,0.0
83752afffffffff,1.0,0.0,0.0
837574fffffffff,1.0,0.0,0.0
837576fffffffff,6.0,0.0,0.0
8375a0fffffffff,1.0,0.0,0.0
8375b0fffffffff,1.0,0.0,0.0
837a68fffffffff,62.0,0.0,0.0
838213fffffffff,1.0,0.0,0.0
838284fffffffff,5.0,0.0,0.0
