cell_id,Campylorhynchus brunneicapillus,Campylorhynchus brunneicapillus [brunneicapillus Group],Campylorhynchus brunneicapillus [affinis Group]
8426d21ffffffff,10.0,0.0,0.0
8426d23ffffffff,6.0,0.0,0.0
8426d25ffffffff,7.0,0.0,0.0
8426d29ffffffff,8.0,0.0,0.0
8426d2bffffffff,4.0,0.0,0.0
8426d2dffffffff,40.0,0.0,0.0
8426d67ffffffff,7.0,0.0,0.0
8426d95ffffffff,33.0,0.0,0.0
8426d97ffffffff,3.0,0.0,0.0
8426da1ffffffff,5.0,0.0,0.0
8426da3ffffffff,7.0,0.0,0.0
8426da5ffffffff,2.0,0.0,0.0
8426db1ffffffff,19.0,0.0,0.0
8426db3ffffffff,18.0,0.0,0.0
8426db5ffffffff,2.0,0.0,0.0
8426db7ffffffff,17.0,0.0,0.0
8426dbbffffffff,1.0,0.0,0.0
8426dbdffffffff,34.0,0.0,0.0
8429125ffffffff,20.0,0.0,0.0
842980dffffffff,9.0,0.0,0.0
842981bffffffff,132.0,0.0,0.0
8429841ffffffff,44.0,0.0,0.0
8429843ffffffff,13.0,0.0,0.0
8429845ffffffff,42.0,0.0,0.0
8429847ffffffff,4.0,0.0,0.0
8429849ffffffff,34.0,0.0,0.0
842984bffffffff,1.0,0.0,0.0
842984dffffffff,214.0,0.0,0.0
8429851ffffffff,2.0,0.0,0.0
8429853ffffffff,5.0,0.0,0.0
8429859ffffffff,2.0,0.0,0.0
842985bffffffff,30.0,0.0,0.0
8429861ffffffff,14.0,0.0,0.0
8429863ffffffff,18.0,0.0,0.0
8429865ffffffff,38.0,0.0,0.0
8429867ffffffff,1.0,0.0,0.0
8429869ffffffff,37.0,0.0,0.0
842986bffffffff,293.0,0.0,0.0
842986dffffffff,2.0,0.0,0.0
842990bffffffff,3.0,0.0,0.0
842994bffffffff,2.0,0.0,0.0
8429951ffffffff,14.0,0.0,0.0
8429953ffffffff,607.0,0.0,0.0
8429957ffffffff,43.0,0.0,0.0
8429959ffffffff,6.0,0.0,0.0
842995bffffffff,16.0,0.0,0.0
8429a01ffffffff,14.0,0.0,0.0
8429a03ffffffff,144.0,0.0,0.0
8429a05ffffffff,180.0,0.0,0.0
8429a07ffffffff,4.0,0.0,0.0
8429a09ffffffff,824.0,0.0,0.0
8429a0bffffffff,1564.0,0.0,0.0
8429a0dffffffff,9.0,0.0,0.0
8429a11ffffffff,9.0,0.0,0.0
8429a13ffffffff,83.0,0.0,0.0
8429a15ffffffff,807.0,0.0,0.0
8429a17ffffffff,1205.0,0.0,0.0
8429a1bffffffff,394.0,0.0,0.0
8429a1dffffffff,413.0,0.0,0.0
8429a25ffffffff,49.0,0.0,0.0
8429a27ffffffff,6.0,0.0,0.0
8429a29ffffffff,1492.0,0.0,0.0
8429a31ffffffff,27.0,0.0,0.0
8429a33ffffffff,4.0,0.0,0.0
8429a35ffffffff,2.0,0.0,0.0
8429a39ffffffff,16.0,0.0,0.0
8429a3bffffffff,578.0,0.0,0.0
8429a3dffffffff,2.0,0.0,0.0
8429a41ffffffff,15.0,0.0,0.0
8429a43ffffffff,6.0,0.0,0.0
8429a45ffffffff,43.0,0.0,0.0
8429a47ffffffff,175.0,0.0,0.0
8429a4dffffffff,51.0,0.0,0.0
8429a55ffffffff,554.0,0.0,0.0
8429a57ffffffff,160.0,0.0,0.0
8429a61ffffffff,691.0,0.0,0.0
8429a63ffffffff,2024.0,0.0,0.0
8429a65ffffffff,68.0,0.0,0.0
