cell_id,Icterus spurius,Icterus spurius spurius,Icterus spurius fuertesi
840e497ffffffff,2.0,2.0,0.0
840e4dbffffffff,5.0,0.0,0.0
8412c8bffffffff,2.0,0.0,0.0
8412dc5ffffffff,2.0,0.0,0.0
841aa07ffffffff,4.0,2.0,0.0
841aa3dffffffff,1.0,0.0,0.0
8426009ffffffff,2.0,2.0,0.0
8426013ffffffff,3.0,3.0,0.0
8426015ffffffff,10.0,5.0,0.0
8426017ffffffff,2.0,2.0,0.0
842602bffffffff,2.0,0.0,0.0
8426033ffffffff,1.0,0.0,0.0
8426039ffffffff,7.0,7.0,0.0
842603dffffffff,2.0,0.0,0.0
8426043ffffffff,2.0,2.0,0.0
8426055ffffffff,1.0,0.0,0.0
8426085ffffffff,4.0,0.0,0.0
842608dffffffff,2.0,2.0,0.0
8426099ffffffff,1.0,0.0,0.0
84260a1ffffffff,19.0,8.0,0.0
84260a5ffffffff,2.0,2.0,0.0
84260a9ffffffff,4.0,1.0,0.0
84260adffffffff,2.0,0.0,0.0
84260b3ffffffff,1.0,0.0,0.0
84260b9ffffffff,18.0,9.0,0.0
84260bbffffffff,3.0,0.0,0.0
84260bdffffffff,2.0,0.0,0.0
84260d9ffffffff,2.0,0.0,0.0
84260e3ffffffff,1.0,0.0,0.0
84260ebffffffff,7.0,2.0,0.0
842610dffffffff,4.0,0.0,0.0
8426111ffffffff,2.0,0.0,0.0
8426115ffffffff,4.0,0.0,0.0
8426117ffffffff,7.0,2.0,0.0
8426123ffffffff,2.0,2.0,0.0
8426139ffffffff,1.0,0.0,0.0
8426183ffffffff,6.0,2.0,0.0
8426191ffffffff,16.0,16.0,0.0
8426195ffffffff,3.0,3.0,0.0
8426197ffffffff,6.0,6.0,0.0
8426199ffffffff,41.0,41.0,0.0
842619dffffffff,13.0,13.0,0.0
84261a9ffffffff,1.0,0.0,0.0
84261b1ffffffff,4.0,4.0,0.0
84261b9ffffffff,8.0,6.0,0.0
84261d3ffffffff,11.0,11.0,0.0
84261d7ffffffff,1.0,0.0,0.0
8426205ffffffff,4.0,4.0,0.0
842620dffffffff,2.0,0.0,0.0
8426219ffffffff,1.0,0.0,0.0
