cell_id,Polioptila albiloris,Polioptila albiloris vanrossemi,Polioptila albiloris albiloris
834522fffffffff,13.0,0.0,0.0
834524fffffffff,143.0,0.0,0.0
834525fffffffff,544.0,0.0,0.0
834526fffffffff,117.0,0.0,0.0
834530fffffffff,3.0,0.0,0.0
834534fffffffff,5.0,0.0,0.0
834535fffffffff,343.0,0.0,0.0
834980fffffffff,2.0,0.0,0.0
834985fffffffff,3.0,0.0,0.0
834986fffffffff,5.0,0.0,0.0
834994fffffffff,9.0,0.0,0.0
8349a2fffffffff,22.0,0.0,0.0
8349a3fffffffff,6.0,0.0,0.0
8349b0fffffffff,2.0,0.0,0.0
8349b1fffffffff,2.0,0.0,0.0
8349b2fffffffff,9.0,0.0,0.0
8349b3fffffffff,84.0,0.0,0.0
8349b4fffffffff,1.0,0.0,0.0
8349b5fffffffff,6.0,0.0,0.0
8349b6fffffffff,2.0,0.0,0.0
836792fffffffff,1.0,0.0,0.0
836d04fffffffff,485.0,0.0,0.0
836d05fffffffff,2.0,0.0,0.0
836d06fffffffff,160.0,0.0,0.0
836d14fffffffff,8.0,0.0,0.0
836d15fffffffff,820.0,0.0,0.0
836d23fffffffff,354.0,0.0,0.0
836d29fffffffff,117.0,0.0,0.0
836d2dfffffffff,9.0,0.0,0.0
836d2efffffffff,116.0,0.0,0.0
836d31fffffffff,913.0,0.0,0.0
836d32fffffffff,1.0,0.0,0.0
836d33fffffffff,333.0,0.0,0.0
836d36fffffffff,130.0,0.0,0.0
836d60fffffffff,881.0,0.0,0.0
836d61fffffffff,382.0,0.0,0.0
836d63fffffffff,178.0,0.0,0.0
836d64fffffffff,909.0,0.0,0.0
836d65fffffffff,90.0,0.0,0.0
836d66fffffffff,512.0,0.0,0.0
836d68fffffffff,2321.0,0.0,0.0
836d69fffffffff,1870.0,0.0,0.0
836d6afffffffff,164.0,0.0,0.0
836d6bfffffffff,694.0,0.0,0.0
836d6cfffffffff,2.0,0.0,0.0
836d6efffffffff,292.0,0.0,0.0
836d74fffffffff,138.0,0.0,0.0
836d75fffffffff,108.0,0.0,0.0
