cell_id,Granatellus pelzelni,Granatellus pelzelni pelzelni,Granatellus pelzelni paraensis
835f03fffffffff,12.0,0.0,0.0
835f1cfffffffff,12.0,0.0,0.0
835f29fffffffff,2.0,0.0,0.0
835f2bfffffffff,116.0,0.0,0.0
835f2dfffffffff,1.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f40fffffffff,6.0,0.0,0.0
835f42fffffffff,29.0,0.0,0.0
835f54fffffffff,1.0,0.0,0.0
835f68fffffffff,14.0,0.0,0.0
835f70fffffffff,3.0,0.0,0.0
835f71fffffffff,2.0,0.0,0.0
835f75fffffffff,2.0,0.0,0.0
836641fffffffff,255.0,20.0,0.0
836643fffffffff,2.0,0.0,0.0
8366e8fffffffff,1.0,0.0,0.0
8366ecfffffffff,4.0,0.0,0.0
838029fffffffff,1.0,0.0,0.0
838061fffffffff,1.0,0.0,0.0
838064fffffffff,2.0,0.0,0.0
838065fffffffff,6.0,0.0,0.0
83806bfffffffff,3.0,0.0,0.0
838071fffffffff,7.0,0.0,0.0
838074fffffffff,3.0,0.0,0.0
838075fffffffff,1.0,0.0,0.0
838140fffffffff,11.0,0.0,0.0
838145fffffffff,26.0,1.0,0.0
838148fffffffff,1.0,0.0,0.0
83814afffffffff,68.0,0.0,0.0
83814bfffffffff,2.0,0.0,0.0
83814dfffffffff,47.0,0.0,0.0
83814efffffffff,28.0,0.0,0.0
838158fffffffff,1.0,0.0,0.0
83815afffffffff,5.0,0.0,0.0
83815cfffffffff,3.0,0.0,0.0
83815dfffffffff,7.0,0.0,0.0
838163fffffffff,70.0,1.0,2.0
838171fffffffff,4.0,0.0,0.0
838a05fffffffff,4.0,0.0,0.0
838a06fffffffff,2.0,0.0,0.0
838a10fffffffff,7.0,0.0,0.0
838a15fffffffff,6.0,0.0,0.0
838a21fffffffff,1.0,0.0,0.0
838a23fffffffff,1.0,0.0,0.0
838a24fffffffff,2.0,0.0,0.0
838a2cfffffffff,1.0,0.0,0.0
838a31fffffffff,13.0,0.0,0.0
838a80fffffffff,13.0,0.0,0.0
838a91fffffffff,1.0,0.0,0.0
838a92fffffffff,2.0,0.0,0.0
838aa9fffffffff,1.0,0.0,0.0
838aacfffffffff,1.0,0.0,0.0
838ab2fffffffff,2.0,0.0,0.0
838adcfffffffff,5.0,0.0,0.0
838b11fffffffff,2.0,0.0,0.0
838b12fffffffff,2.0,0.0,0.0
838b50fffffffff,2.0,0.0,0.0
838b52fffffffff,2.0,0.0,0.0
838b56fffffffff,2.0,0.0,0.0
838b82fffffffff,1.0,0.0,0.0
838b83fffffffff,3.0,0.0,0.0
838b84fffffffff,16.0,0.0,0.0
838b88fffffffff,1.0,0.0,0.0
838b89fffffffff,1.0,0.0,0.0
838b8afffffffff,1.0,0.0,0.0
838b8efffffffff,1.0,0.0,0.0
838b99fffffffff,26.0,0.0,0.0
838b9dfffffffff,245.0,0.0,0.0
838b9efffffffff,1.0,0.0,0.0
