cell_id,Certhilauda subcoronata,Certhilauda subcoronata benguelensis/kaokoensis,Certhilauda subcoronata [subcoronata Group]
838304fffffffff,2.0,2.0,0.0
838320fffffffff,15.0,15.0,0.0
838325fffffffff,1.0,1.0,0.0
8383adfffffffff,3.0,3.0,0.0
83ac85fffffffff,2.0,2.0,0.0
83ac8bfffffffff,1.0,1.0,0.0
83aca0fffffffff,2.0,2.0,0.0
83aca1fffffffff,86.0,15.0,71.0
83aca3fffffffff,9.0,7.0,2.0
83aca4fffffffff,4.0,0.0,4.0
83aca5fffffffff,10.0,0.0,9.0
83acaafffffffff,5.0,4.0,0.0
83acaefffffffff,134.0,126.0,2.0
83ad12fffffffff,2.0,0.0,2.0
83ad32fffffffff,3.0,0.0,1.0
83ad82fffffffff,1.0,0.0,1.0
83ad85fffffffff,2.0,0.0,2.0
83ad88fffffffff,3.0,0.0,3.0
83ad8bfffffffff,14.0,0.0,10.0
83ad8cfffffffff,1.0,0.0,1.0
83ad8efffffffff,2.0,0.0,2.0
83ada0fffffffff,42.0,0.0,41.0
83ada1fffffffff,23.0,0.0,22.0
83ada2fffffffff,42.0,0.0,38.0
83ada3fffffffff,11.0,0.0,11.0
83ada4fffffffff,142.0,0.0,135.0
83ada5fffffffff,4.0,0.0,4.0
83ada6fffffffff,4.0,0.0,4.0
83ada8fffffffff,6.0,0.0,6.0
83adaafffffffff,9.0,0.0,6.0
83adabfffffffff,1.0,0.0,1.0
83adacfffffffff,6.0,0.0,4.0
83adb5fffffffff,3.0,0.0,3.0
83bc41fffffffff,14.0,0.0,14.0
83bc42fffffffff,1.0,0.0,1.0
83bc43fffffffff,143.0,0.0,128.0
83bc46fffffffff,2.0,0.0,2.0
83bc48fffffffff,43.0,0.0,39.0
83bc49fffffffff,1.0,0.0,1.0
83bc4afffffffff,9.0,0.0,9.0
83bc4bfffffffff,33.0,0.0,33.0
83bc4cfffffffff,3.0,0.0,2.0
83bc4dfffffffff,7.0,0.0,7.0
83bc4efffffffff,8.0,0.0,8.0
83bc51fffffffff,1.0,0.0,1.0
83bc55fffffffff,3.0,0.0,2.0
83bc58fffffffff,2.0,0.0,2.0
83bc59fffffffff,3.0,0.0,3.0
83bc5cfffffffff,5.0,0.0,5.0
83bc5dfffffffff,10.0,0.0,10.0
83bc68fffffffff,1.0,0.0,1.0
83bc6afffffffff,1.0,0.0,1.0
83bc6bfffffffff,9.0,0.0,7.0
83bc73fffffffff,2.0,0.0,2.0
83bce9fffffffff,1.0,0.0,1.0
