cell_id,Horornis diphone,Horornis diphone [cantans Group],Horornis diphone diphone
822e07fffffffff,1.0,0.0,0.0
822e0ffffffffff,123.0,0.0,0.0
822e17fffffffff,38.0,0.0,0.0
822e1ffffffffff,106.0,0.0,0.0
822e2ffffffffff,49.0,0.0,0.0
822e47fffffffff,4.0,0.0,0.0
822e67fffffffff,336.0,0.0,0.0
822e6ffffffffff,610.0,0.0,0.0
822e77fffffffff,280.0,0.0,0.0
822e8ffffffffff,15.0,0.0,0.0
822ea7fffffffff,6.0,0.0,0.0
822eaffffffffff,93.0,0.0,0.0
822ef7fffffffff,62.0,0.0,0.0
822f47fffffffff,31.0,0.0,0.0
822f5ffffffffff,930.0,1.0,0.0
82301ffffffffff,2.0,0.0,0.0
8230c7fffffffff,115.0,0.0,0.0
8230cffffffffff,13.0,0.0,0.0
8230d7fffffffff,142.0,0.0,0.0
8230dffffffffff,51.0,0.0,0.0
8230e7fffffffff,108.0,0.0,0.0
8230f7fffffffff,16.0,0.0,0.0
8241b7fffffffff,20.0,0.0,0.0
82464ffffffffff,1889.0,0.0,0.0
824a27fffffffff,358.0,0.0,0.0
824a6ffffffffff,14.0,0.0,2.0
824b0ffffffffff,8.0,0.0,0.0
824b1ffffffffff,14.0,0.0,0.0
824b57fffffffff,36.0,1.0,0.0
824b67fffffffff,183.0,0.0,0.0
824b6ffffffffff,12.0,0.0,0.0
824b77fffffffff,213.0,1.0,0.0
824b87fffffffff,4.0,0.0,0.0
824ba7fffffffff,284.0,0.0,0.0
824baffffffffff,2.0,0.0,0.0
824bb7fffffffff,14.0,0.0,0.0
824ecffffffffff,8.0,0.0,2.0
825d17fffffffff,2201.0,0.0,0.0
