cell_id,Setophaga palmarum,Setophaga palmarum palmarum,Setophaga palmarum hypochrysea
840c2cdffffffff,2.0,0.0,0.0
840c415ffffffff,28.0,2.0,0.0
840c42dffffffff,1.0,0.0,0.0
840c733ffffffff,3.0,0.0,0.0
840c75dffffffff,2.0,2.0,0.0
840ca43ffffffff,2.0,2.0,0.0
840d039ffffffff,8.0,8.0,0.0
840d5a9ffffffff,5.0,0.0,0.0
840e487ffffffff,2.0,0.0,0.0
840e497ffffffff,2.0,0.0,1.0
840e805ffffffff,7.0,7.0,0.0
840e9a7ffffffff,4.0,4.0,0.0
840ec51ffffffff,1.0,0.0,0.0
840ecc9ffffffff,22.0,5.0,0.0
840ed85ffffffff,1.0,0.0,0.0
840eea7ffffffff,212.0,3.0,0.0
840eeabffffffff,2.0,0.0,0.0
840eed5ffffffff,2.0,0.0,0.0
840eee3ffffffff,5.0,0.0,0.0
8412251ffffffff,2.0,0.0,0.0
84122e9ffffffff,1.0,0.0,0.0
8412307ffffffff,1.0,0.0,0.0
8412591ffffffff,2.0,2.0,0.0
84125adffffffff,2.0,0.0,0.0
84125d9ffffffff,1.0,0.0,0.0
84128bdffffffff,2.0,2.0,0.0
8412909ffffffff,23.0,6.0,0.0
8412941ffffffff,2.0,0.0,0.0
8412947ffffffff,6.0,0.0,0.0
8412949ffffffff,3.0,0.0,0.0
8412ab3ffffffff,4.0,2.0,0.0
8412b01ffffffff,3.0,0.0,0.0
8412b03ffffffff,13.0,0.0,0.0
8412b63ffffffff,2.0,0.0,0.0
8412c07ffffffff,2.0,2.0,0.0
8412c11ffffffff,30.0,4.0,0.0
8412c17ffffffff,2.0,2.0,0.0
8412c21ffffffff,2.0,2.0,0.0
8412c83ffffffff,2.0,0.0,0.0
8412c8bffffffff,2.0,0.0,0.0
8412c91ffffffff,3.0,3.0,0.0
8412c97ffffffff,1.0,1.0,0.0
8412ca3ffffffff,2.0,0.0,0.0
8412cadffffffff,4.0,0.0,0.0
8412cbdffffffff,2.0,0.0,0.0
8412cc1ffffffff,2.0,0.0,0.0
8412cc9ffffffff,4.0,0.0,0.0
8412ccdffffffff,64.0,2.0,0.0
8412cd9ffffffff,4.0,0.0,0.0
8412ce3ffffffff,2.0,0.0,0.0
8412d17ffffffff,1.0,0.0,0.0
8412d63ffffffff,2.0,0.0,0.0
8412d89ffffffff,3.0,0.0,0.0
8412dc3ffffffff,5.0,0.0,0.0
8412ddbffffffff,4.0,0.0,0.0
8412de5ffffffff,2.0,0.0,0.0
8412e13ffffffff,3.0,0.0,0.0
8412ea7ffffffff,2.0,0.0,0.0
8412ec1ffffffff,1.0,0.0,0.0
8412ecdffffffff,1.0,0.0,0.0
8412f69ffffffff,2.0,0.0,0.0
8413529ffffffff,5.0,5.0,0.0
8413539ffffffff,5.0,0.0,0.0
841383dffffffff,1.0,0.0,0.0
8413861ffffffff,6.0,0.0,0.0
8413867ffffffff,1.0,0.0,0.0
84139e1ffffffff,6.0,0.0,0.0
841aa01ffffffff,1.0,0.0,0.0
841aa07ffffffff,26.0,0.0,0.0
841aa21ffffffff,2.0,0.0,0.0
841aa23ffffffff,8.0,0.0,0.0
841aa27ffffffff,4.0,0.0,0.0
841aa35ffffffff,15.0,0.0,0.0
841aa3dffffffff,24.0,0.0,0.0
