cell_id,Myiopagis viridicata,Myiopagis viridicata minima/jaliscensis,Myiopagis viridicata [viridicata Group]
84446c5ffffffff,3.0,0.0,0.0
8445019ffffffff,6.0,0.0,2.0
8445087ffffffff,1.0,0.0,0.0
84450ddffffffff,5.0,0.0,5.0
8445255ffffffff,1.0,0.0,0.0
8445269ffffffff,1.0,0.0,0.0
8445281ffffffff,3.0,0.0,3.0
84452a9ffffffff,4.0,0.0,4.0
84452adffffffff,3.0,0.0,0.0
84452e1ffffffff,7.0,0.0,0.0
84452e5ffffffff,4.0,0.0,4.0
8445313ffffffff,2.0,0.0,0.0
8445317ffffffff,7.0,0.0,0.0
844531bffffffff,2.0,0.0,0.0
844533bffffffff,2.0,0.0,0.0
8445649ffffffff,2.0,0.0,0.0
84480adffffffff,2.0,2.0,0.0
8448337ffffffff,6.0,4.0,0.0
8448361ffffffff,3.0,3.0,0.0
8448363ffffffff,4.0,4.0,0.0
8449865ffffffff,3.0,1.0,0.0
84498c7ffffffff,2.0,0.0,0.0
8449959ffffffff,51.0,14.0,0.0
8449961ffffffff,10.0,0.0,4.0
8449963ffffffff,6.0,0.0,0.0
8449987ffffffff,4.0,0.0,0.0
8449a83ffffffff,1.0,1.0,0.0
8449a85ffffffff,7.0,4.0,0.0
8449a91ffffffff,1.0,1.0,0.0
8449b29ffffffff,1.0,1.0,0.0
8449b37ffffffff,3.0,3.0,0.0
845f4bdffffffff,3.0,0.0,0.0
84660cbffffffff,4.0,0.0,0.0
8466113ffffffff,3.0,0.0,0.0
8466183ffffffff,1.0,0.0,1.0
84661cdffffffff,3.0,0.0,0.0
8466205ffffffff,1.0,0.0,1.0
8466217ffffffff,2.0,0.0,0.0
846622bffffffff,1.0,0.0,1.0
8466a0bffffffff,20.0,0.0,0.0
8466a57ffffffff,1.0,0.0,0.0
8466a5bffffffff,5.0,0.0,3.0
8466d0dffffffff,16.0,0.0,0.0
8466d35ffffffff,1.0,0.0,1.0
84674ebffffffff,1.0,0.0,0.0
8467909ffffffff,1.0,0.0,0.0
846d049ffffffff,1.0,0.0,0.0
846d21dffffffff,4.0,0.0,0.0
846d239ffffffff,6.0,0.0,4.0
846d23bffffffff,1.0,0.0,0.0
846d23dffffffff,4.0,0.0,4.0
846d2adffffffff,1.0,0.0,0.0
846d2b9ffffffff,3.0,0.0,0.0
846d2c9ffffffff,2.0,0.0,0.0
846d305ffffffff,2.0,2.0,0.0
846d30dffffffff,5.0,0.0,5.0
846d311ffffffff,1.0,0.0,1.0
846d313ffffffff,5.0,5.0,0.0
846d315ffffffff,4.0,0.0,0.0
846d319ffffffff,15.0,0.0,15.0
846d31bffffffff,2.0,0.0,2.0
846d32bffffffff,142.0,140.0,0.0
846d335ffffffff,5.0,5.0,0.0
846d337ffffffff,40.0,40.0,0.0
846d36dffffffff,1.0,0.0,0.0
846d605ffffffff,2.0,0.0,0.0
846d665ffffffff,2.0,0.0,0.0
846d66dffffffff,34.0,0.0,0.0
846d681ffffffff,3.0,0.0,0.0
846d689ffffffff,1.0,0.0,0.0
846d69dffffffff,8.0,0.0,0.0
846d745ffffffff,2.0,0.0,0.0
846d75dffffffff,2.0,0.0,0.0
848a05bffffffff,1.0,0.0,0.0
848a337ffffffff,2.0,0.0,0.0
848b6edffffffff,2.0,0.0,0.0
848f0d3ffffffff,3.0,0.0,0.0
84a8241ffffffff,4.0,0.0,0.0
84a9425ffffffff,3.0,0.0,0.0
84a94ddffffffff,2.0,0.0,0.0
84a9507ffffffff,2.0,0.0,0.0
84a9509ffffffff,1.0,0.0,0.0
84a9531ffffffff,2.0,0.0,0.0
84a9533ffffffff,2.0,0.0,0.0
84a953bffffffff,11.0,0.0,0.0
84a9555ffffffff,6.0,0.0,0.0
84a9557ffffffff,1.0,0.0,0.0
84a9565ffffffff,1.0,0.0,0.0
84a95abffffffff,4.0,0.0,0.0
84a9617ffffffff,24.0,0.0,0.0
84a9619ffffffff,6.0,0.0,0.0
84a96c5ffffffff,10.0,0.0,0.0
84a96e9ffffffff,19.0,0.0,0.0
84b20e7ffffffff,1.0,0.0,0.0
84b3425ffffffff,2.0,0.0,0.0
84b3429ffffffff,1.0,0.0,0.0
84b3441ffffffff,2.0,0.0,0.0
84b3445ffffffff,6.0,0.0,0.0
84b3447ffffffff,2.0,0.0,0.0
84b3461ffffffff,5.0,0.0,0.0
84b3589ffffffff,20.0,0.0,0.0
84b35c1ffffffff,1.0,0.0,1.0
84b35c5ffffffff,2.0,0.0,0.0
84b35c7ffffffff,2.0,0.0,0.0
84b35e9ffffffff,2.0,0.0,0.0
84c2d85ffffffff,5.0,0.0,0.0
84c2d93ffffffff,12.0,0.0,0.0
