cell_id,Elaenia albiceps,Elaenia albiceps [albiceps Group],Elaenia albiceps chilensis,Elaenia albiceps modesta
82271ffffffffff,2.0,0.0,2.0,0.0
8248b7fffffffff,2.0,0.0,1.0,0.0
8266d7fffffffff,28.0,2.0,0.0,0.0
8266e7fffffffff,2.0,0.0,0.0,0.0
828017fffffffff,3.0,0.0,3.0,0.0
828037fffffffff,2.0,0.0,2.0,0.0
828107fffffffff,3.0,0.0,3.0,0.0
828137fffffffff,3.0,0.0,3.0,0.0
828167fffffffff,5.0,0.0,5.0,0.0
82818ffffffffff,2.0,0.0,2.0,0.0
828a07fffffffff,3.0,0.0,2.0,0.0
828b27fffffffff,2.0,0.0,1.0,0.0
828b47fffffffff,1.0,0.0,0.0,0.0
828b67fffffffff,2.0,2.0,0.0,0.0
828b6ffffffffff,3.0,0.0,0.0,0.0
828e67fffffffff,3.0,0.0,0.0,0.0
828f0ffffffffff,2.0,1.0,0.0,0.0
828f4ffffffffff,5.0,0.0,0.0,0.0
828f57fffffffff,22.0,0.0,2.0,0.0
828f5ffffffffff,2.0,2.0,0.0,0.0
828f77fffffffff,9.0,0.0,0.0,0.0
82a817fffffffff,42.0,0.0,38.0,0.0
82a81ffffffffff,8.0,0.0,8.0,0.0
82a827fffffffff,5.0,0.0,5.0,0.0
82a837fffffffff,3.0,0.0,3.0,0.0
82a897fffffffff,1.0,0.0,1.0,0.0
82a8a7fffffffff,7.0,0.0,6.0,0.0
82a8affffffffff,4.0,0.0,4.0,0.0
82a91ffffffffff,4.0,0.0,4.0,0.0
82a92ffffffffff,1.0,0.0,1.0,0.0
82a947fffffffff,16.0,0.0,0.0,0.0
82a94ffffffffff,13.0,0.0,0.0,0.0
82a957fffffffff,20.0,0.0,0.0,0.0
82a95ffffffffff,5.0,0.0,0.0,0.0
82a967fffffffff,10.0,0.0,4.0,0.0
82a96ffffffffff,30.0,0.0,0.0,0.0
82b20ffffffffff,3.0,0.0,0.0,0.0
82b21ffffffffff,7.0,0.0,3.0,0.0
82b227fffffffff,17.0,0.0,0.0,0.0
82b247fffffffff,8.0,0.0,0.0,0.0
82b24ffffffffff,63.0,0.0,0.0,0.0
82b257fffffffff,2.0,2.0,0.0,0.0
82b25ffffffffff,47.0,0.0,0.0,0.0
82b267fffffffff,10.0,0.0,0.0,0.0
82b26ffffffffff,21.0,0.0,0.0,0.0
82b2c7fffffffff,120.0,0.0,24.0,0.0
82b2cffffffffff,11.0,0.0,9.0,0.0
82b2dffffffffff,1.0,0.0,1.0,0.0
82b2e7fffffffff,11.0,0.0,3.0,0.0
82b2effffffffff,10.0,0.0,0.0,0.0
82b307fffffffff,23.0,0.0,0.0,23.0
82b30ffffffffff,7.0,0.0,0.0,5.0
82b327fffffffff,2.0,0.0,2.0,0.0
82b34ffffffffff,4.0,0.0,0.0,0.0
82b357fffffffff,2.0,2.0,0.0,0.0
82b35ffffffffff,5.0,0.0,0.0,0.0
82b36ffffffffff,1.0,0.0,1.0,0.0
82b377fffffffff,3.0,0.0,0.0,0.0
82c207fffffffff,3.0,0.0,0.0,0.0
82c2c7fffffffff,19.0,0.0,0.0,0.0
82c2cffffffffff,40.0,0.0,0.0,0.0
82c2e7fffffffff,6.0,0.0,0.0,0.0
82c2effffffffff,6.0,0.0,0.0,0.0
82c2f7fffffffff,29.0,0.0,0.0,0.0
82c357fffffffff,1.0,0.0,0.0,0.0
82ce87fffffffff,11.0,0.0,7.0,0.0
82ce8ffffffffff,26.0,0.0,5.0,0.0
82ce97fffffffff,2.0,0.0,0.0,0.0
82ce9ffffffffff,7.0,2.0,0.0,0.0
82cea7fffffffff,14.0,0.0,11.0,0.0
82ceaffffffffff,63.0,0.0,57.0,0.0
82cf17fffffffff,3.0,0.0,0.0,0.0
82cf8ffffffffff,3.0,0.0,3.0,0.0
82cfa7fffffffff,2.0,0.0,0.0,0.0
82cfaffffffffff,5.0,0.0,0.0,0.0
82de77fffffffff,5.0,0.0,0.0,0.0
82df2ffffffffff,3.0,1.0,0.0,0.0
82df47fffffffff,4.0,0.0,4.0,0.0
82df4ffffffffff,1.0,0.0,0.0,0.0
82df6ffffffffff,5.0,0.0,5.0,0.0
