cell_id,Copsychus albospecularis,Copsychus albospecularis albospecularis,Copsychus albospecularis inexspectatus,Copsychus albospecularis pica
82a207fffffffff,1.0,0.0,0.0,0.0
82a217fffffffff,475.0,0.0,32.0,2.0
82a227fffffffff,217.0,2.0,4.0,0.0
82a237fffffffff,561.0,4.0,30.0,3.0
82a2a7fffffffff,233.0,0.0,1.0,11.0
82a2affffffffff,34.0,1.0,1.0,1.0
82a30ffffffffff,105.0,4.0,0.0,11.0
82a31ffffffffff,381.0,2.0,10.0,29.0
82a357fffffffff,116.0,12.0,0.0,0.0
82a377fffffffff,33.0,0.0,0.0,2.0
82a38ffffffffff,173.0,1.0,4.0,6.0
82a39ffffffffff,512.0,1.0,18.0,46.0
82a3affffffffff,12.0,0.0,0.0,0.0
