cell_id,Thalurania colombica,Thalurania colombica venusta/townsendi,Thalurania colombica colombica/rostrifera,Thalurania colombica [fannyae Group],Thalurania colombica hypochlora,Thalurania colombica (Violet-crowned Woodnymph),Thalurania colombica (Green-crowned Woodnymph)
824527fffffffff,39.0,0.0,0.0,0.0,0.0,15.0,0.0
82452ffffffffff,47.0,0.0,0.0,0.0,0.0,3.0,0.0
824537fffffffff,4.0,0.0,0.0,0.0,0.0,2.0,0.0
82660ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
826617fffffffff,29.0,16.0,0.0,1.0,0.0,1.0,2.0
82661ffffffffff,79.0,0.0,0.0,0.0,0.0,16.0,60.0
826627fffffffff,20.0,0.0,0.0,0.0,0.0,10.0,0.0
82662ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8266b7fffffffff,547.0,5.0,0.0,0.0,0.0,521.0,0.0
8266d7fffffffff,1326.0,0.0,0.0,3.0,1.0,0.0,1316.0
8266e7fffffffff,20.0,0.0,5.0,0.0,0.0,12.0,3.0
8266f7fffffffff,29.0,0.0,0.0,4.0,0.0,6.0,3.0
82675ffffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
826797fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82679ffffffffff,70.0,0.0,0.0,0.0,0.0,70.0,0.0
826d67fffffffff,9.0,0.0,0.0,0.0,0.0,3.0,0.0
826d6ffffffffff,825.0,11.0,0.0,0.0,0.0,810.0,0.0
828f0ffffffffff,17.0,0.0,0.0,0.0,4.0,0.0,13.0
828f2ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,7.0
