cell_id,Eucometis penicillata,Eucometis penicillata [spodocephalus Group],Eucometis penicillata [penicillata Group]
8445083ffffffff,2.0,2.0,0.0
8445219ffffffff,2.0,0.0,0.0
8445225ffffffff,2.0,0.0,0.0
8445233ffffffff,2.0,1.0,0.0
8445257ffffffff,12.0,0.0,0.0
84452a5ffffffff,2.0,0.0,0.0
84452c3ffffffff,2.0,0.0,0.0
84452dbffffffff,4.0,0.0,0.0
84452e1ffffffff,2.0,0.0,0.0
84452ebffffffff,1.0,0.0,0.0
8445649ffffffff,3.0,0.0,0.0
84660cbffffffff,13.0,0.0,0.0
8466129ffffffff,4.0,0.0,0.0
8466139ffffffff,2.0,0.0,0.0
8466187ffffffff,2.0,0.0,0.0
8466219ffffffff,9.0,0.0,0.0
846621dffffffff,2.0,0.0,0.0
84662e5ffffffff,4.0,0.0,0.0
8466415ffffffff,6.0,0.0,0.0
8466a0bffffffff,2.0,2.0,0.0
8466a5bffffffff,2.0,0.0,0.0
8466b0bffffffff,3.0,2.0,0.0
8466b1dffffffff,1.0,0.0,0.0
8466b5bffffffff,4.0,0.0,0.0
8466e15ffffffff,2.0,0.0,0.0
8467413ffffffff,3.0,0.0,0.0
84674e5ffffffff,2.0,0.0,0.0
8467599ffffffff,2.0,0.0,0.0
84675a9ffffffff,2.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0
846d257ffffffff,3.0,0.0,0.0
846d2c3ffffffff,2.0,0.0,0.0
846d2c9ffffffff,3.0,1.0,0.0
846d31bffffffff,4.0,0.0,0.0
846d653ffffffff,3.0,0.0,0.0
846d697ffffffff,21.0,17.0,0.0
846d69dffffffff,5.0,0.0,0.0
846d6d3ffffffff,4.0,0.0,0.0
84806abffffffff,3.0,0.0,0.0
848b363ffffffff,1.0,0.0,0.0
848b493ffffffff,2.0,0.0,0.0
848b5cdffffffff,8.0,0.0,2.0
848b713ffffffff,14.0,0.0,0.0
848b717ffffffff,4.0,0.0,0.0
848b76bffffffff,1.0,0.0,0.0
848f48dffffffff,1.0,0.0,0.0
848f4abffffffff,2.0,0.0,0.0
848f4c7ffffffff,2.0,0.0,2.0
84a81e1ffffffff,4.0,0.0,0.0
84a81edffffffff,2.0,0.0,0.0
84a860dffffffff,2.0,0.0,0.0
